day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	2
1	8	3
1	9	1
1	10	1
1	11	1
1	12	0
1	13	2
1	14	0
1	15	1
1	16	5
1	17	1
1	18	4
1	19	0
1	20	1
1	21	1
1	22	0
1	23	0
1	24	2
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	0
2	9	6
2	10	1
2	11	2
2	12	1
2	13	4
2	14	6
2	15	1
2	16	7
2	17	3
2	18	0
2	19	3
2	20	11
2	21	5
2	22	1
2	23	4
2	24	13
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	4
3	10	1
3	11	5
3	12	1
3	13	2
3	14	3
3	15	0
3	16	2
3	17	1
3	18	0
3	19	1
3	20	7
3	21	3
3	22	0
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	0
4	8	4
4	9	2
4	10	1
4	11	3
4	12	2
4	13	0
4	14	2
4	15	2
4	16	1
4	17	2
4	18	10
4	19	3
4	20	3
4	21	1
4	22	0
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	2
5	9	7
5	10	5
5	11	0
5	12	4
5	13	2
5	14	0
5	15	4
5	16	3
5	17	5
5	18	0
5	19	2
5	20	0
5	21	2
5	22	5
5	23	5
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	2
6	8	0
6	9	1
6	10	5
6	11	1
6	12	2
6	13	0
6	14	0
6	15	0
6	16	0
6	17	2
6	18	1
6	19	0
6	20	1
6	21	1
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	2
7	9	1
7	10	0
7	11	0
7	12	1
7	13	1
7	14	0
7	15	1
7	16	0
7	17	0
7	18	0
7	19	1
7	20	4
7	21	0
7	22	0
7	23	2
7	24	0
