day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	1
1	7	2
1	8	7
1	9	7
1	10	3
1	11	0
1	12	2
1	13	2
1	14	2
1	15	1
1	16	4
1	17	2
1	18	3
1	19	2
1	20	2
1	21	7
1	22	12
1	23	3
1	24	5
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	4
2	9	6
2	10	0
2	11	1
2	12	1
2	13	3
2	14	2
2	15	2
2	16	3
2	17	0
2	18	2
2	19	0
2	20	3
2	21	4
2	22	1
2	23	7
2	24	2
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	4
3	9	4
3	10	0
3	11	4
3	12	4
3	13	1
3	14	0
3	15	5
3	16	3
3	17	2
3	18	1
3	19	7
3	20	3
3	21	0
3	22	2
3	23	1
3	24	2
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	2
4	7	2
4	8	4
4	9	5
4	10	6
4	11	5
4	12	4
4	13	4
4	14	1
4	15	4
4	16	2
4	17	3
4	18	7
4	19	7
4	20	5
4	21	4
4	22	2
4	23	2
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	1
5	6	0
5	7	0
5	8	5
5	9	8
5	10	7
5	11	0
5	12	6
5	13	2
5	14	2
5	15	2
5	16	3
5	17	6
5	18	1
5	19	6
5	20	2
5	21	2
5	22	1
5	23	0
5	24	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	4
6	10	3
6	11	4
6	12	4
6	13	0
6	14	3
6	15	0
6	16	0
6	17	10
6	18	1
6	19	3
6	20	3
6	21	3
6	22	0
6	23	3
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	2
7	9	1
7	10	4
7	11	0
7	12	0
7	13	2
7	14	3
7	15	2
7	16	1
7	17	2
7	18	3
7	19	3
7	20	6
7	21	0
7	22	4
7	23	2
7	24	0
