day	hour	value
1	1	1
1	2	0
1	3	3
1	4	1
1	5	0
1	6	1
1	7	1
1	8	9
1	9	4
1	10	2
1	11	5
1	12	2
1	13	3
1	14	5
1	15	1
1	16	4
1	17	9
1	18	3
1	19	1
1	20	3
1	21	0
1	22	9
1	23	1
1	24	3
2	1	0
2	2	1
2	3	1
2	4	0
2	5	0
2	6	0
2	7	0
2	8	5
2	9	9
2	10	6
2	11	3
2	12	10
2	13	9
2	14	12
2	15	4
2	16	5
2	17	4
2	18	4
2	19	5
2	20	4
2	21	4
2	22	4
2	23	1
2	24	4
3	1	2
3	2	2
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	1
3	9	3
3	10	6
3	11	3
3	12	5
3	13	2
3	14	1
3	15	1
3	16	3
3	17	1
3	18	11
3	19	1
3	20	5
3	21	2
3	22	0
3	23	0
3	24	0
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	7
4	9	3
4	10	4
4	11	2
4	12	7
4	13	2
4	14	2
4	15	5
4	16	12
4	17	6
4	18	1
4	19	0
4	20	4
4	21	3
4	22	0
4	23	2
4	24	12
5	1	12
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	2
5	8	6
5	9	6
5	10	16
5	11	8
5	12	5
5	13	3
5	14	2
5	15	2
5	16	6
5	17	0
5	18	2
5	19	1
5	20	3
5	21	2
5	22	4
5	23	1
5	24	0
6	1	2
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	1
6	9	5
6	10	3
6	11	0
6	12	1
6	13	1
6	14	14
6	15	3
6	16	6
6	17	10
6	18	0
6	19	2
6	20	6
6	21	5
6	22	0
6	23	0
6	24	1
7	1	0
7	2	1
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	2
7	9	12
7	10	8
7	11	7
7	12	9
7	13	1
7	14	1
7	15	1
7	16	10
7	17	3
7	18	2
7	19	1
7	20	2
7	21	3
7	22	0
7	23	0
7	24	0
