day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	3
1	7	6
1	8	3
1	9	1
1	10	0
1	11	0
1	12	1
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	2
1	19	0
1	20	3
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	15
2	9	13
2	10	2
2	11	2
2	12	2
2	13	1
2	14	2
2	15	2
2	16	2
2	17	1
2	18	6
2	19	0
2	20	0
2	21	3
2	22	3
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	16
3	9	4
3	10	7
3	11	2
3	12	0
3	13	0
3	14	0
3	15	2
3	16	0
3	17	0
3	18	2
3	19	6
3	20	3
3	21	0
3	22	7
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	30
4	9	8
4	10	4
4	11	2
4	12	0
4	13	0
4	14	1
4	15	4
4	16	0
4	17	1
4	18	3
4	19	2
4	20	4
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	21
5	9	24
5	10	13
5	11	1
5	12	2
5	13	1
5	14	1
5	15	0
5	16	1
5	17	0
5	18	7
5	19	0
5	20	0
5	21	1
5	22	4
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	13
6	10	0
6	11	3
6	12	0
6	13	5
6	14	0
6	15	0
6	16	2
6	17	0
6	18	1
6	19	0
6	20	1
6	21	6
6	22	1
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	11
7	9	7
7	10	3
7	11	3
7	12	2
7	13	4
7	14	3
7	15	2
7	16	2
7	17	0
7	18	0
7	19	1
7	20	3
7	21	0
7	22	0
7	23	0
7	24	0
