day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	3
1	13	1
1	14	2
1	15	0
1	16	1
1	17	0
1	18	2
1	19	0
1	20	0
1	21	1
1	22	1
1	23	0
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	1
2	12	0
2	13	0
2	14	0
2	15	0
2	16	5
2	17	2
2	18	0
2	19	4
2	20	0
2	21	3
2	22	6
2	23	16
2	24	13
3	1	2
3	2	0
3	3	1
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	3
3	15	0
3	16	0
3	17	0
3	18	1
3	19	2
3	20	1
3	21	1
3	22	1
3	23	2
3	24	10
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	1
4	11	1
4	12	0
4	13	0
4	14	0
4	15	0
4	16	1
4	17	4
4	18	0
4	19	0
4	20	1
4	21	2
4	22	6
4	23	3
4	24	6
5	1	3
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	2
5	9	0
5	10	1
5	11	4
5	12	0
5	13	0
5	14	0
5	15	4
5	16	1
5	17	0
5	18	0
5	19	5
5	20	1
5	21	1
5	22	0
5	23	12
5	24	19
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	2
6	10	7
6	11	7
6	12	7
6	13	21
6	14	13
6	15	11
6	16	4
6	17	6
6	18	11
6	19	8
6	20	5
6	21	5
6	22	0
6	23	24
6	24	8
7	1	12
7	2	2
7	3	0
7	4	0
7	5	0
7	6	1
7	7	0
7	8	0
7	9	1
7	10	2
7	11	4
7	12	3
7	13	7
7	14	0
7	15	2
7	16	0
7	17	0
7	18	5
7	19	4
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
