day	hour	value
1	1	1
1	2	2
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	6
1	11	4
1	12	2
1	13	3
1	14	1
1	15	5
1	16	2
1	17	0
1	18	0
1	19	1
1	20	0
1	21	3
1	22	1
1	23	5
1	24	6
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	5
2	12	7
2	13	7
2	14	6
2	15	1
2	16	5
2	17	3
2	18	4
2	19	3
2	20	0
2	21	2
2	22	7
2	23	8
2	24	12
3	1	2
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	2
3	13	2
3	14	12
3	15	6
3	16	3
3	17	6
3	18	8
3	19	0
3	20	0
3	21	3
3	22	3
3	23	6
3	24	4
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	3
4	13	0
4	14	1
4	15	0
4	16	5
4	17	0
4	18	4
4	19	0
4	20	0
4	21	2
4	22	4
4	23	3
4	24	3
5	1	1
5	2	1
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	1
5	12	1
5	13	5
5	14	6
5	15	6
5	16	3
5	17	5
5	18	0
5	19	0
5	20	0
5	21	1
5	22	2
5	23	8
5	24	9
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	4
6	13	0
6	14	1
6	15	1
6	16	0
6	17	0
6	18	8
6	19	0
6	20	0
6	21	0
6	22	2
6	23	5
6	24	10
7	1	4
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	3
7	12	3
7	13	1
7	14	4
7	15	3
7	16	0
7	17	2
7	18	3
7	19	0
7	20	0
7	21	1
7	22	3
7	23	10
7	24	1
