day	hour	value
1	1	5
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	1
1	10	3
1	11	0
1	12	1
1	13	0
1	14	0
1	15	2
1	16	0
1	17	0
1	18	0
1	19	2
1	20	5
1	21	0
1	22	3
1	23	3
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	3
2	9	10
2	10	7
2	11	1
2	12	3
2	13	3
2	14	1
2	15	0
2	16	1
2	17	3
2	18	4
2	19	4
2	20	0
2	21	15
2	22	2
2	23	0
2	24	2
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	2
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	1
3	19	0
3	20	1
3	21	9
3	22	13
3	23	15
3	24	1
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	8
4	10	1
4	11	0
4	12	1
4	13	3
4	14	0
4	15	0
4	16	0
4	17	1
4	18	2
4	19	0
4	20	4
4	21	5
4	22	6
4	23	4
4	24	1
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	10
5	10	7
5	11	3
5	12	23
5	13	17
5	14	18
5	15	18
5	16	29
5	17	5
5	18	6
5	19	10
5	20	3
5	21	1
5	22	7
5	23	6
5	24	2
6	1	3
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	4
6	11	16
6	12	19
6	13	14
6	14	5
6	15	5
6	16	0
6	17	8
6	18	6
6	19	4
6	20	1
6	21	4
6	22	1
6	23	1
6	24	2
7	1	5
7	2	5
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	10
7	12	10
7	13	2
7	14	1
7	15	8
7	16	10
7	17	9
7	18	6
7	19	0
7	20	0
7	21	0
7	22	0
7	23	3
7	24	0
