day	hour	value
1	1	0
1	2	1
1	3	0
1	4	0
1	5	0
1	6	1
1	7	6
1	8	23
1	9	16
1	10	11
1	11	8
1	12	4
1	13	18
1	14	2
1	15	2
1	16	1
1	17	4
1	18	3
1	19	1
1	20	2
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	2
2	7	4
2	8	5
2	9	2
2	10	4
2	11	12
2	12	3
2	13	3
2	14	2
2	15	1
2	16	2
2	17	2
2	18	0
2	19	0
2	20	2
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	3
3	9	4
3	10	10
3	11	6
3	12	5
3	13	7
3	14	4
3	15	8
3	16	5
3	17	7
3	18	3
3	19	2
3	20	4
3	21	1
3	22	0
3	23	2
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	9
4	9	4
4	10	9
4	11	6
4	12	9
4	13	6
4	14	3
4	15	6
4	16	3
4	17	4
4	18	1
4	19	2
4	20	1
4	21	0
4	22	0
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	8
5	9	4
5	10	4
5	11	6
5	12	3
5	13	3
5	14	1
5	15	1
5	16	1
5	17	1
5	18	0
5	19	0
5	20	1
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	1
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	2
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
