day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	1
1	10	6
1	11	4
1	12	1
1	13	0
1	14	4
1	15	4
1	16	12
1	17	5
1	18	2
1	19	4
1	20	2
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	3
2	11	2
2	12	1
2	13	2
2	14	2
2	15	0
2	16	2
2	17	7
2	18	0
2	19	3
2	20	5
2	21	1
2	22	0
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	3
3	10	1
3	11	4
3	12	5
3	13	1
3	14	6
3	15	2
3	16	5
3	17	5
3	18	2
3	19	0
3	20	0
3	21	2
3	22	0
3	23	3
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	6
4	9	2
4	10	2
4	11	1
4	12	7
4	13	3
4	14	2
4	15	8
4	16	6
4	17	4
4	18	1
4	19	1
4	20	0
4	21	2
4	22	8
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	5
5	9	4
5	10	0
5	11	4
5	12	3
5	13	6
5	14	0
5	15	2
5	16	6
5	17	6
5	18	5
5	19	2
5	20	2
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	2
6	12	0
6	13	5
6	14	2
6	15	0
6	16	4
6	17	7
6	18	2
6	19	0
6	20	1
6	21	1
6	22	3
6	23	4
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	4
7	14	3
7	15	0
7	16	0
7	17	2
7	18	0
7	19	0
7	20	7
7	21	0
7	22	0
7	23	4
7	24	0
