day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	3
1	11	4
1	12	4
1	13	2
1	14	4
1	15	5
1	16	10
1	17	4
1	18	2
1	19	3
1	20	1
1	21	1
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	4
2	11	2
2	12	4
2	13	2
2	14	9
2	15	3
2	16	2
2	17	9
2	18	2
2	19	2
2	20	3
2	21	5
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	3
3	10	1
3	11	1
3	12	3
3	13	1
3	14	7
3	15	6
3	16	13
3	17	4
3	18	5
3	19	1
3	20	1
3	21	6
3	22	0
3	23	2
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	1
4	10	1
4	11	7
4	12	2
4	13	6
4	14	5
4	15	9
4	16	7
4	17	7
4	18	5
4	19	4
4	20	2
4	21	3
4	22	3
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	4
5	12	2
5	13	2
5	14	8
5	15	7
5	16	4
5	17	3
5	18	5
5	19	6
5	20	6
5	21	3
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	2
6	11	3
6	12	0
6	13	5
6	14	8
6	15	4
6	16	4
6	17	7
6	18	3
6	19	4
6	20	2
6	21	4
6	22	4
6	23	0
6	24	0
7	1	0
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	2
7	12	0
7	13	3
7	14	2
7	15	1
7	16	3
7	17	3
7	18	1
7	19	2
7	20	3
7	21	0
7	22	0
7	23	0
7	24	0
