day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	2
1	7	21
1	8	0
1	9	0
1	10	1
1	11	3
1	12	28
1	13	0
1	14	2
1	15	10
1	16	11
1	17	2
1	18	1
1	19	2
1	20	5
1	21	1
1	22	1
1	23	7
1	24	1
2	1	4
2	2	3
2	3	0
2	4	0
2	5	0
2	6	2
2	7	20
2	8	0
2	9	0
2	10	1
2	11	4
2	12	23
2	13	2
2	14	1
2	15	5
2	16	1
2	17	0
2	18	0
2	19	1
2	20	0
2	21	1
2	22	0
2	23	2
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	0
3	7	21
3	8	1
3	9	3
3	10	1
3	11	2
3	12	26
3	13	2
3	14	2
3	15	3
3	16	1
3	17	1
3	18	2
3	19	5
3	20	4
3	21	1
3	22	8
3	23	0
3	24	4
4	1	0
4	2	0
4	3	1
4	4	0
4	5	0
4	6	0
4	7	21
4	8	1
4	9	0
4	10	0
4	11	0
4	12	12
4	13	2
4	14	0
4	15	3
4	16	1
4	17	5
4	18	4
4	19	3
4	20	2
4	21	1
4	22	8
4	23	3
4	24	0
5	1	0
5	2	2
5	3	0
5	4	1
5	5	0
5	6	0
5	7	22
5	8	2
5	9	1
5	10	1
5	11	1
5	12	20
5	13	0
5	14	1
5	15	1
5	16	10
5	17	1
5	18	0
5	19	2
5	20	2
5	21	2
5	22	1
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	1
6	12	17
6	13	0
6	14	1
6	15	4
6	16	3
6	17	1
6	18	1
6	19	3
6	20	2
6	21	4
6	22	3
6	23	0
6	24	3
7	1	4
7	2	0
7	3	0
7	4	0
7	5	0
7	6	2
7	7	18
7	8	0
7	9	0
7	10	1
7	11	4
7	12	25
7	13	7
7	14	0
7	15	6
7	16	1
7	17	0
7	18	1
7	19	1
7	20	1
7	21	20
7	22	3
7	23	2
7	24	0
