day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	7
1	6	12
1	7	8
1	8	0
1	9	2
1	10	1
1	11	0
1	12	0
1	13	5
1	14	2
1	15	0
1	16	2
1	17	1
1	18	1
1	19	1
1	20	0
1	21	5
1	22	0
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	1
2	5	5
2	6	2
2	7	4
2	8	2
2	9	2
2	10	4
2	11	1
2	12	1
2	13	4
2	14	1
2	15	1
2	16	0
2	17	0
2	18	1
2	19	0
2	20	0
2	21	5
2	22	6
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	0
3	7	2
3	8	5
3	9	4
3	10	0
3	11	0
3	12	1
3	13	4
3	14	0
3	15	0
3	16	0
3	17	0
3	18	1
3	19	0
3	20	0
3	21	5
3	22	3
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	2
4	7	3
4	8	4
4	9	1
4	10	0
4	11	2
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
4	18	6
4	19	0
4	20	1
4	21	4
4	22	0
4	23	3
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	2
5	6	2
5	7	6
5	8	4
5	9	0
5	10	6
5	11	0
5	12	1
5	13	4
5	14	0
5	15	1
5	16	0
5	17	1
5	18	0
5	19	0
5	20	0
5	21	3
5	22	4
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	1
6	7	3
6	8	4
6	9	5
6	10	1
6	11	3
6	12	1
6	13	5
6	14	0
6	15	2
6	16	1
6	17	0
6	18	1
6	19	0
6	20	5
6	21	4
6	22	1
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	1
7	5	0
7	6	2
7	7	1
7	8	7
7	9	14
7	10	3
7	11	2
7	12	0
7	13	1
7	14	2
7	15	0
7	16	1
7	17	1
7	18	0
7	19	0
7	20	0
7	21	4
7	22	0
7	23	2
7	24	0
