day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	11
1	10	7
1	11	7
1	12	2
1	13	4
1	14	2
1	15	2
1	16	4
1	17	2
1	18	0
1	19	0
1	20	0
1	21	2
1	22	0
1	23	2
1	24	3
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	2
2	9	5
2	10	7
2	11	5
2	12	6
2	13	3
2	14	3
2	15	3
2	16	4
2	17	0
2	18	1
2	19	0
2	20	1
2	21	3
2	22	1
2	23	0
2	24	3
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	3
3	10	7
3	11	4
3	12	6
3	13	3
3	14	5
3	15	2
3	16	4
3	17	2
3	18	0
3	19	0
3	20	3
3	21	1
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	5
4	10	11
4	11	3
4	12	2
4	13	4
4	14	7
4	15	3
4	16	2
4	17	3
4	18	3
4	19	0
4	20	2
4	21	0
4	22	1
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	3
5	9	5
5	10	2
5	11	7
5	12	1
5	13	3
5	14	0
5	15	5
5	16	1
5	17	0
5	18	1
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	5
6	9	0
6	10	4
6	11	0
6	12	6
6	13	8
6	14	2
6	15	1
6	16	1
6	17	2
6	18	0
6	19	1
6	20	0
6	21	0
6	22	2
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	2
7	11	4
7	12	0
7	13	5
7	14	4
7	15	1
7	16	0
7	17	1
7	18	1
7	19	1
7	20	2
7	21	0
7	22	0
7	23	0
7	24	2
