day	hour	value
1	1	1
1	2	2
1	3	0
1	4	2
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	2
1	11	2
1	12	1
1	13	0
1	14	2
1	15	1
1	16	1
1	17	0
1	18	1
1	19	1
1	20	3
1	21	3
1	22	2
1	23	1
1	24	2
2	1	0
2	2	2
2	3	3
2	4	2
2	5	0
2	6	0
2	7	0
2	8	1
2	9	0
2	10	1
2	11	3
2	12	4
2	13	7
2	14	6
2	15	1
2	16	1
2	17	1
2	18	0
2	19	4
2	20	1
2	21	2
2	22	4
2	23	1
2	24	3
3	1	6
3	2	5
3	3	5
3	4	1
3	5	1
3	6	0
3	7	0
3	8	1
3	9	0
3	10	0
3	11	0
3	12	2
3	13	9
3	14	1
3	15	1
3	16	1
3	17	3
3	18	4
3	19	4
3	20	2
3	21	1
3	22	0
3	23	3
3	24	1
4	1	3
4	2	3
4	3	1
4	4	5
4	5	4
4	6	0
4	7	2
4	8	0
4	9	0
4	10	1
4	11	1
4	12	4
4	13	7
4	14	3
4	15	7
4	16	3
4	17	6
4	18	5
4	19	3
4	20	2
4	21	4
4	22	0
4	23	2
4	24	5
5	1	7
5	2	9
5	3	0
5	4	1
5	5	3
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	5
5	12	4
5	13	6
5	14	6
5	15	6
5	16	6
5	17	1
5	18	2
5	19	1
5	20	3
5	21	1
5	22	3
5	23	6
5	24	3
6	1	3
6	2	4
6	3	8
6	4	2
6	5	2
6	6	1
6	7	0
6	8	1
6	9	0
6	10	1
6	11	1
6	12	1
6	13	3
6	14	3
6	15	8
6	16	2
6	17	2
6	18	1
6	19	1
6	20	4
6	21	3
6	22	2
6	23	3
6	24	0
7	1	3
7	2	1
7	3	1
7	4	9
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	1
7	11	1
7	12	5
7	13	8
7	14	3
7	15	4
7	16	7
7	17	2
7	18	3
7	19	0
7	20	1
7	21	1
7	22	1
7	23	8
7	24	3
