day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	4
1	9	0
1	10	4
1	11	0
1	12	2
1	13	0
1	14	1
1	15	5
1	16	0
1	17	4
1	18	4
1	19	5
1	20	5
1	21	5
1	22	2
1	23	2
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	5
2	8	0
2	9	2
2	10	0
2	11	0
2	12	0
2	13	1
2	14	0
2	15	3
2	16	1
2	17	1
2	18	6
2	19	9
2	20	1
2	21	10
2	22	4
2	23	1
2	24	3
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	10
3	8	12
3	9	3
3	10	1
3	11	2
3	12	1
3	13	1
3	14	0
3	15	3
3	16	0
3	17	0
3	18	3
3	19	2
3	20	0
3	21	4
3	22	3
3	23	8
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	1
4	8	5
4	9	3
4	10	0
4	11	0
4	12	3
4	13	5
4	14	1
4	15	1
4	16	1
4	17	0
4	18	4
4	19	3
4	20	8
4	21	4
4	22	0
4	23	2
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	13
5	8	7
5	9	1
5	10	2
5	11	0
5	12	1
5	13	0
5	14	1
5	15	0
5	16	1
5	17	2
5	18	3
5	19	3
5	20	1
5	21	8
5	22	3
5	23	4
5	24	4
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	4
6	11	7
6	12	4
6	13	0
6	14	4
6	15	0
6	16	3
6	17	1
6	18	6
6	19	2
6	20	7
6	21	1
6	22	1
6	23	1
6	24	0
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	6
7	10	6
7	11	2
7	12	0
7	13	4
7	14	3
7	15	0
7	16	0
7	17	4
7	18	3
7	19	3
7	20	1
7	21	0
7	22	1
7	23	8
7	24	3
