day	hour	value
1	1	0
1	2	0
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	4
1	11	6
1	12	2
1	13	0
1	14	2
1	15	1
1	16	0
1	17	1
1	18	0
1	19	3
1	20	0
1	21	0
1	22	1
1	23	7
1	24	3
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	5
2	11	6
2	12	0
2	13	0
2	14	3
2	15	5
2	16	6
2	17	6
2	18	2
2	19	0
2	20	3
2	21	6
2	22	2
2	23	1
2	24	2
3	1	2
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	3
3	11	4
3	12	5
3	13	0
3	14	1
3	15	6
3	16	5
3	17	3
3	18	5
3	19	4
3	20	4
3	21	9
3	22	0
3	23	5
3	24	1
4	1	2
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	0
4	10	2
4	11	3
4	12	4
4	13	0
4	14	0
4	15	3
4	16	0
4	17	3
4	18	1
4	19	2
4	20	2
4	21	1
4	22	1
4	23	7
4	24	3
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	2
5	11	5
5	12	3
5	13	3
5	14	4
5	15	7
5	16	4
5	17	2
5	18	0
5	19	3
5	20	0
5	21	0
5	22	5
5	23	5
5	24	5
6	1	0
6	2	3
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	4
6	11	10
6	12	5
6	13	6
6	14	8
6	15	3
6	16	8
6	17	2
6	18	5
6	19	4
6	20	3
6	21	3
6	22	1
6	23	4
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	3
7	11	21
7	12	9
7	13	5
7	14	10
7	15	8
7	16	5
7	17	3
7	18	1
7	19	2
7	20	3
7	21	3
7	22	8
7	23	2
7	24	4
