day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	11
1	13	1
1	14	2
1	15	5
1	16	1
1	17	5
1	18	4
1	19	5
1	20	3
1	21	19
1	22	6
1	23	23
1	24	9
2	1	4
2	2	1
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	2
2	10	0
2	11	2
2	12	1
2	13	0
2	14	12
2	15	2
2	16	3
2	17	6
2	18	3
2	19	11
2	20	2
2	21	2
2	22	0
2	23	2
2	24	3
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	2
3	11	3
3	12	2
3	13	0
3	14	7
3	15	3
3	16	1
3	17	5
3	18	2
3	19	1
3	20	0
3	21	3
3	22	2
3	23	1
3	24	11
4	1	5
4	2	3
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	4
4	11	1
4	12	3
4	13	1
4	14	4
4	15	0
4	16	12
4	17	6
4	18	6
4	19	3
4	20	0
4	21	0
4	22	3
4	23	3
4	24	5
5	1	1
5	2	2
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	1
5	11	1
5	12	4
5	13	6
5	14	0
5	15	0
5	16	0
5	17	2
5	18	3
5	19	3
5	20	2
5	21	4
5	22	1
5	23	5
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	0
6	12	6
6	13	10
6	14	0
6	15	2
6	16	0
6	17	0
6	18	0
6	19	4
6	20	1
6	21	3
6	22	1
6	23	0
6	24	1
7	1	2
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	3
7	12	2
7	13	6
7	14	1
7	15	0
7	16	0
7	17	3
7	18	2
7	19	1
7	20	2
7	21	6
7	22	3
7	23	4
7	24	1
