day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	1
1	14	1
1	15	1
1	16	1
1	17	0
1	18	0
1	19	2
1	20	0
1	21	0
1	22	12
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	2
2	10	1
2	11	3
2	12	3
2	13	5
2	14	10
2	15	9
2	16	4
2	17	1
2	18	1
2	19	6
2	20	4
2	21	0
2	22	7
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	8
3	10	7
3	11	6
3	12	7
3	13	2
3	14	6
3	15	4
3	16	4
3	17	1
3	18	8
3	19	16
3	20	0
3	21	16
3	22	5
3	23	3
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	5
4	10	3
4	11	1
4	12	12
4	13	2
4	14	8
4	15	6
4	16	3
4	17	0
4	18	0
4	19	17
4	20	17
4	21	0
4	22	8
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	5
5	10	1
5	11	1
5	12	6
5	13	0
5	14	0
5	15	1
5	16	5
5	17	0
5	18	1
5	19	12
5	20	2
5	21	8
5	22	17
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	0
6	12	0
6	13	1
6	14	0
6	15	0
6	16	0
6	17	0
6	18	1
6	19	20
6	20	5
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	6
7	12	2
7	13	2
7	14	0
7	15	3
7	16	16
7	17	3
7	18	0
7	19	8
7	20	9
7	21	2
7	22	0
7	23	0
7	24	0
