day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	4
1	9	18
1	10	25
1	11	25
1	12	5
1	13	18
1	14	6
1	15	10
1	16	8
1	17	2
1	18	0
1	19	1
1	20	4
1	21	2
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	2
2	9	15
2	10	17
2	11	12
2	12	4
2	13	7
2	14	12
2	15	1
2	16	4
2	17	6
2	18	0
2	19	2
2	20	2
2	21	1
2	22	1
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	4
3	9	10
3	10	13
3	11	8
3	12	2
3	13	13
3	14	11
3	15	13
3	16	4
3	17	1
3	18	0
3	19	0
3	20	0
3	21	1
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	19
4	10	19
4	11	11
4	12	7
4	13	6
4	14	9
4	15	7
4	16	6
4	17	4
4	18	0
4	19	4
4	20	2
4	21	1
4	22	2
4	23	0
4	24	0
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	5
5	9	7
5	10	16
5	11	10
5	12	4
5	13	3
5	14	9
5	15	11
5	16	5
5	17	4
5	18	0
5	19	0
5	20	0
5	21	1
5	22	0
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	2
6	10	12
6	11	5
6	12	5
6	13	1
6	14	2
6	15	7
6	16	1
6	17	1
6	18	1
6	19	4
6	20	5
6	21	0
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	2
7	9	2
7	10	4
7	11	5
7	12	5
7	13	4
7	14	4
7	15	1
7	16	3
7	17	4
7	18	2
7	19	2
7	20	3
7	21	1
7	22	2
7	23	0
7	24	0
