day	hour	value
1	1	1
1	2	1
1	3	0
1	4	1
1	5	0
1	6	0
1	7	0
1	8	1
1	9	2
1	10	1
1	11	0
1	12	4
1	13	1
1	14	0
1	15	0
1	16	1
1	17	3
1	18	3
1	19	3
1	20	2
1	21	2
1	22	5
1	23	7
1	24	2
2	1	1
2	2	3
2	3	1
2	4	1
2	5	0
2	6	0
2	7	1
2	8	0
2	9	0
2	10	0
2	11	2
2	12	2
2	13	1
2	14	3
2	15	3
2	16	3
2	17	3
2	18	7
2	19	1
2	20	5
2	21	1
2	22	2
2	23	3
2	24	4
3	1	1
3	2	1
3	3	0
3	4	1
3	5	1
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	1
3	13	1
3	14	7
3	15	5
3	16	4
3	17	3
3	18	4
3	19	3
3	20	5
3	21	3
3	22	6
3	23	3
3	24	4
4	1	4
4	2	2
4	3	12
4	4	6
4	5	1
4	6	1
4	7	0
4	8	0
4	9	2
4	10	0
4	11	0
4	12	2
4	13	3
4	14	5
4	15	4
4	16	1
4	17	2
4	18	3
4	19	3
4	20	4
4	21	8
4	22	3
4	23	3
4	24	5
5	1	1
5	2	6
5	3	4
5	4	1
5	5	1
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	2
5	12	2
5	13	2
5	14	0
5	15	2
5	16	1
5	17	0
5	18	2
5	19	1
5	20	7
5	21	2
5	22	3
5	23	3
5	24	3
6	1	4
6	2	1
6	3	1
6	4	0
6	5	0
6	6	1
6	7	0
6	8	0
6	9	2
6	10	0
6	11	1
6	12	0
6	13	1
6	14	3
6	15	5
6	16	5
6	17	4
6	18	2
6	19	8
6	20	11
6	21	2
6	22	10
6	23	4
6	24	1
7	1	3
7	2	2
7	3	1
7	4	0
7	5	0
7	6	2
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	1
7	13	3
7	14	3
7	15	4
7	16	5
7	17	4
7	18	3
7	19	3
7	20	4
7	21	9
7	22	7
7	23	5
7	24	3
