day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	7
1	7	8
1	8	1
1	9	15
1	10	4
1	11	0
1	12	0
1	13	0
1	14	0
1	15	1
1	16	1
1	17	0
1	18	0
1	19	9
1	20	2
1	21	4
1	22	1
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	16
2	8	2
2	9	3
2	10	3
2	11	0
2	12	0
2	13	9
2	14	4
2	15	0
2	16	2
2	17	0
2	18	10
2	19	1
2	20	0
2	21	1
2	22	6
2	23	2
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	13
3	8	6
3	9	14
3	10	4
3	11	0
3	12	0
3	13	0
3	14	0
3	15	1
3	16	0
3	17	0
3	18	1
3	19	4
3	20	1
3	21	0
3	22	1
3	23	2
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	5
4	8	10
4	9	10
4	10	16
4	11	0
4	12	0
4	13	0
4	14	0
4	15	2
4	16	4
4	17	3
4	18	1
4	19	4
4	20	10
4	21	8
4	22	1
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	12
5	8	2
5	9	18
5	10	2
5	11	1
5	12	0
5	13	1
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	1
5	20	1
5	21	7
5	22	1
5	23	3
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	1
6	7	0
6	8	17
6	9	6
6	10	2
6	11	1
6	12	0
6	13	0
6	14	6
6	15	3
6	16	1
6	17	0
6	18	1
6	19	7
6	20	1
6	21	0
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	6
7	8	10
7	9	20
7	10	8
7	11	1
7	12	1
7	13	1
7	14	0
7	15	1
7	16	3
7	17	4
7	18	8
7	19	1
7	20	2
7	21	3
7	22	1
7	23	0
7	24	0
