day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	2
1	10	5
1	11	5
1	12	5
1	13	2
1	14	4
1	15	2
1	16	3
1	17	1
1	18	1
1	19	3
1	20	0
1	21	1
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	3
2	11	10
2	12	1
2	13	3
2	14	3
2	15	3
2	16	1
2	17	3
2	18	6
2	19	8
2	20	10
2	21	6
2	22	5
2	23	7
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	3
3	10	6
3	11	5
3	12	4
3	13	2
3	14	3
3	15	7
3	16	4
3	17	3
3	18	3
3	19	1
3	20	1
3	21	2
3	22	1
3	23	0
3	24	0
4	1	7
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	2
4	10	6
4	11	12
4	12	3
4	13	13
4	14	4
4	15	3
4	16	4
4	17	4
4	18	3
4	19	3
4	20	0
4	21	5
4	22	0
4	23	2
4	24	1
5	1	9
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	2
5	10	13
5	11	7
5	12	6
5	13	20
5	14	8
5	15	4
5	16	5
5	17	5
5	18	5
5	19	1
5	20	0
5	21	2
5	22	1
5	23	2
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	5
6	10	6
6	11	6
6	12	3
6	13	6
6	14	4
6	15	4
6	16	9
6	17	5
6	18	4
6	19	3
6	20	0
6	21	5
6	22	0
6	23	3
6	24	0
7	1	0
7	2	1
7	3	0
7	4	2
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	8
7	11	8
7	12	4
7	13	2
7	14	5
7	15	2
7	16	3
7	17	4
7	18	3
7	19	3
7	20	0
7	21	5
7	22	0
7	23	0
7	24	5
