day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	3
1	10	13
1	11	5
1	12	13
1	13	3
1	14	7
1	15	10
1	16	7
1	17	11
1	18	5
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	10
2	10	15
2	11	4
2	12	0
2	13	8
2	14	7
2	15	11
2	16	16
2	17	4
2	18	4
2	19	1
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	4
3	11	13
3	12	11
3	13	9
3	14	26
3	15	14
3	16	16
3	17	8
3	18	0
3	19	3
3	20	0
3	21	1
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	3
4	7	0
4	8	0
4	9	14
4	10	11
4	11	13
4	12	14
4	13	17
4	14	7
4	15	13
4	16	8
4	17	5
4	18	1
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	12
5	10	23
5	11	29
5	12	16
5	13	12
5	14	8
5	15	7
5	16	3
5	17	4
5	18	2
5	19	1
5	20	1
5	21	1
5	22	2
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	2
6	9	7
6	10	1
6	11	0
6	12	0
6	13	0
6	14	0
6	15	1
6	16	0
6	17	0
6	18	0
6	19	0
6	20	1
6	21	0
6	22	2
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	0
7	9	0
7	10	1
7	11	2
7	12	0
7	13	0
7	14	1
7	15	0
7	16	0
7	17	0
7	18	1
7	19	1
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
