day	hour	value
1	1	2
1	2	2
1	3	2
1	4	2
1	5	2
1	6	3
1	7	1
1	8	4
1	9	7
1	10	3
1	11	6
1	12	2
1	13	5
1	14	6
1	15	3
1	16	3
1	17	1
1	18	9
1	19	4
1	20	4
1	21	22
1	22	1
1	23	4
1	24	3
2	1	2
2	2	2
2	3	2
2	4	3
2	5	2
2	6	4
2	7	2
2	8	2
2	9	5
2	10	6
2	11	2
2	12	3
2	13	7
2	14	4
2	15	3
2	16	6
2	17	2
2	18	2
2	19	2
2	20	2
2	21	2
2	22	8
2	23	3
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	0
3	7	0
3	8	1
3	9	3
3	10	1
3	11	2
3	12	4
3	13	7
3	14	2
3	15	4
3	16	8
3	17	2
3	18	4
3	19	2
3	20	4
3	21	71
3	22	10
3	23	2
3	24	2
4	1	2
4	2	2
4	3	2
4	4	1
4	5	2
4	6	1
4	7	2
4	8	2
4	9	2
4	10	2
4	11	5
4	12	1
4	13	4
4	14	2
4	15	2
4	16	2
4	17	3
4	18	4
4	19	1
4	20	2
4	21	3
4	22	2
4	23	4
4	24	4
5	1	2
5	2	1
5	3	2
5	4	2
5	5	3
5	6	1
5	7	0
5	8	1
5	9	1
5	10	0
5	11	0
5	12	0
5	13	1
5	14	0
5	15	0
5	16	0
5	17	1
5	18	0
5	19	0
5	20	5
5	21	1
5	22	1
5	23	2
5	24	1
6	1	2
6	2	1
6	3	2
6	4	1
6	5	2
6	6	2
6	7	2
6	8	2
6	9	3
6	10	3
6	11	4
6	12	4
6	13	2
6	14	4
6	15	7
6	16	2
6	17	3
6	18	3
6	19	4
6	20	3
6	21	2
6	22	5
6	23	2
6	24	2
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	0
7	11	0
7	12	0
7	13	1
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	1
7	21	4
7	22	15
7	23	10
7	24	3
