day	hour	value
1	1	0
1	2	1
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	5
1	11	4
1	12	7
1	13	2
1	14	2
1	15	5
1	16	13
1	17	5
1	18	7
1	19	1
1	20	7
1	21	6
1	22	8
1	23	1
1	24	2
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	4
2	11	0
2	12	10
2	13	3
2	14	4
2	15	5
2	16	12
2	17	3
2	18	8
2	19	4
2	20	7
2	21	4
2	22	10
2	23	3
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	6
3	11	1
3	12	9
3	13	4
3	14	2
3	15	2
3	16	11
3	17	3
3	18	5
3	19	2
3	20	7
3	21	10
3	22	10
3	23	1
3	24	2
4	1	2
4	2	2
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	0
4	10	8
4	11	2
4	12	8
4	13	4
4	14	4
4	15	3
4	16	12
4	17	5
4	18	8
4	19	4
4	20	14
4	21	5
4	22	10
4	23	2
4	24	1
5	1	2
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	5
5	11	0
5	12	9
5	13	5
5	14	2
5	15	2
5	16	11
5	17	4
5	18	5
5	19	10
5	20	9
5	21	4
5	22	12
5	23	3
5	24	2
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	4
6	11	1
6	12	10
6	13	2
6	14	5
6	15	6
6	16	10
6	17	5
6	18	5
6	19	3
6	20	4
6	21	9
6	22	12
6	23	3
6	24	2
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	6
7	11	3
7	12	9
7	13	2
7	14	5
7	15	4
7	16	8
7	17	7
7	18	4
7	19	2
7	20	8
7	21	5
7	22	7
7	23	3
7	24	2
