day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	4
1	12	8
1	13	6
1	14	1
1	15	0
1	16	3
1	17	4
1	18	1
1	19	3
1	20	1
1	21	1
1	22	0
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	3
2	12	4
2	13	4
2	14	3
2	15	3
2	16	4
2	17	3
2	18	3
2	19	6
2	20	0
2	21	0
2	22	1
2	23	3
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	2
3	12	6
3	13	3
3	14	1
3	15	3
3	16	2
3	17	0
3	18	4
3	19	1
3	20	0
3	21	1
3	22	1
3	23	1
3	24	2
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	4
4	11	7
4	12	4
4	13	3
4	14	6
4	15	2
4	16	3
4	17	1
4	18	3
4	19	2
4	20	0
4	21	3
4	22	2
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	5
5	12	4
5	13	6
5	14	2
5	15	7
5	16	1
5	17	4
5	18	4
5	19	1
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	2
6	12	0
6	13	0
6	14	0
6	15	1
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	1
6	23	0
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	1
7	22	1
7	23	1
7	24	0
