day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	5
1	12	7
1	13	6
1	14	5
1	15	6
1	16	4
1	17	9
1	18	19
1	19	0
1	20	8
1	21	6
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	2
2	11	3
2	12	8
2	13	7
2	14	11
2	15	9
2	16	24
2	17	10
2	18	13
2	19	7
2	20	0
2	21	0
2	22	1
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	3
3	11	2
3	12	3
3	13	7
3	14	1
3	15	4
3	16	40
3	17	3
3	18	4
3	19	1
3	20	1
3	21	0
3	22	2
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	4
4	12	17
4	13	13
4	14	3
4	15	3
4	16	4
4	17	10
4	18	10
4	19	1
4	20	0
4	21	1
4	22	7
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	3
5	11	5
5	12	10
5	13	5
5	14	2
5	15	9
5	16	7
5	17	8
5	18	2
5	19	0
5	20	2
5	21	2
5	22	9
5	23	20
5	24	2
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	0
6	12	2
6	13	1
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	1
6	20	0
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	0
7	12	0
7	13	4
7	14	0
7	15	0
7	16	1
7	17	0
7	18	0
7	19	0
7	20	0
7	21	1
7	22	0
7	23	0
7	24	0
