day	hour	value
1	1	0
1	2	2
1	3	3
1	4	2
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	1
1	14	0
1	15	1
1	16	4
1	17	13
1	18	5
1	19	9
1	20	2
1	21	0
1	22	0
1	23	1
1	24	3
2	1	5
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	1
2	14	0
2	15	1
2	16	3
2	17	0
2	18	1
2	19	0
2	20	2
2	21	6
2	22	1
2	23	0
2	24	5
3	1	2
3	2	5
3	3	5
3	4	1
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	3
3	12	2
3	13	1
3	14	1
3	15	7
3	16	4
3	17	1
3	18	1
3	19	3
3	20	2
3	21	7
3	22	0
3	23	2
3	24	5
4	1	15
4	2	0
4	3	4
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	2
4	11	0
4	12	1
4	13	2
4	14	5
4	15	0
4	16	5
4	17	18
4	18	1
4	19	3
4	20	3
4	21	4
4	22	3
4	23	14
4	24	16
5	1	1
5	2	1
5	3	1
5	4	2
5	5	1
5	6	0
5	7	0
5	8	0
5	9	1
5	10	1
5	11	0
5	12	0
5	13	3
5	14	1
5	15	0
5	16	1
5	17	1
5	18	2
5	19	1
5	20	1
5	21	1
5	22	0
5	23	2
5	24	0
6	1	4
6	2	1
6	3	1
6	4	0
6	5	2
6	6	0
6	7	0
6	8	1
6	9	0
6	10	0
6	11	0
6	12	3
6	13	2
6	14	2
6	15	3
6	16	5
6	17	7
6	18	10
6	19	0
6	20	6
6	21	8
6	22	5
6	23	1
6	24	4
7	1	5
7	2	3
7	3	3
7	4	6
7	5	4
7	6	1
7	7	2
7	8	0
7	9	1
7	10	0
7	11	0
7	12	1
7	13	1
7	14	4
7	15	1
7	16	2
7	17	0
7	18	3
7	19	3
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
