day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	2
1	7	6
1	8	4
1	9	6
1	10	5
1	11	6
1	12	7
1	13	2
1	14	2
1	15	9
1	16	4
1	17	1
1	18	4
1	19	2
1	20	2
1	21	3
1	22	2
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	4
2	7	5
2	8	5
2	9	5
2	10	5
2	11	7
2	12	4
2	13	4
2	14	7
2	15	7
2	16	8
2	17	2
2	18	4
2	19	3
2	20	0
2	21	3
2	22	3
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	4
3	8	3
3	9	4
3	10	3
3	11	1
3	12	4
3	13	3
3	14	2
3	15	3
3	16	2
3	17	0
3	18	2
3	19	3
3	20	0
3	21	2
3	22	2
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	4
4	8	3
4	9	2
4	10	4
4	11	2
4	12	5
4	13	5
4	14	0
4	15	5
4	16	3
4	17	1
4	18	2
4	19	3
4	20	0
4	21	2
4	22	2
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	4
5	8	4
5	9	6
5	10	5
5	11	4
5	12	4
5	13	2
5	14	1
5	15	3
5	16	5
5	17	1
5	18	3
5	19	3
5	20	0
5	21	3
5	22	3
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	3
6	8	6
6	9	7
6	10	6
6	11	3
6	12	6
6	13	6
6	14	1
6	15	5
6	16	7
6	17	1
6	18	4
6	19	3
6	20	0
6	21	3
6	22	3
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	3
7	8	4
7	9	5
7	10	4
7	11	3
7	12	4
7	13	4
7	14	3
7	15	4
7	16	2
7	17	1
7	18	3
7	19	2
7	20	1
7	21	7
7	22	2
7	23	0
7	24	0
