day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	2
1	7	1
1	8	0
1	9	1
1	10	1
1	11	4
1	12	2
1	13	1
1	14	0
1	15	0
1	16	0
1	17	0
1	18	1
1	19	7
1	20	17
1	21	15
1	22	9
1	23	2
1	24	2
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	2
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
2	18	0
2	19	10
2	20	15
2	21	15
2	22	15
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	2
3	7	0
3	8	0
3	9	0
3	10	0
3	11	1
3	12	1
3	13	1
3	14	0
3	15	0
3	16	0
3	17	0
3	18	1
3	19	8
3	20	14
3	21	20
3	22	9
3	23	4
3	24	2
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	2
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	1
4	14	0
4	15	0
4	16	0
4	17	1
4	18	0
4	19	10
4	20	17
4	21	17
4	22	7
4	23	6
4	24	1
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	2
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	4
5	19	9
5	20	18
5	21	12
5	22	14
5	23	3
5	24	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	1
6	13	0
6	14	1
6	15	4
6	16	2
6	17	2
6	18	6
6	19	13
6	20	19
6	21	10
6	22	9
6	23	5
6	24	3
7	1	0
7	2	0
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	1
7	15	0
7	16	0
7	17	0
7	18	0
7	19	10
7	20	16
7	21	17
7	22	11
7	23	3
7	24	0
