day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	3
1	8	0
1	9	0
1	10	2
1	11	0
1	12	0
1	13	0
1	14	1
1	15	0
1	16	0
1	17	1
1	18	0
1	19	4
1	20	4
1	21	6
1	22	2
1	23	1
1	24	6
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	4
2	9	2
2	10	2
2	11	5
2	12	6
2	13	0
2	14	0
2	15	2
2	16	1
2	17	0
2	18	3
2	19	1
2	20	3
2	21	3
2	22	2
2	23	3
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	3
3	9	6
3	10	5
3	11	2
3	12	1
3	13	2
3	14	2
3	15	7
3	16	2
3	17	1
3	18	7
3	19	16
3	20	9
3	21	6
3	22	4
3	23	4
3	24	2
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	2
4	9	2
4	10	6
4	11	1
4	12	5
4	13	1
4	14	1
4	15	3
4	16	4
4	17	2
4	18	4
4	19	10
4	20	0
4	21	4
4	22	16
4	23	7
4	24	4
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	2
5	9	10
5	10	3
5	11	0
5	12	0
5	13	4
5	14	3
5	15	4
5	16	3
5	17	2
5	18	11
5	19	14
5	20	6
5	21	7
5	22	3
5	23	3
5	24	4
6	1	1
6	2	0
6	3	2
6	4	0
6	5	0
6	6	0
6	7	2
6	8	1
6	9	4
6	10	1
6	11	2
6	12	2
6	13	13
6	14	10
6	15	9
6	16	2
6	17	19
6	18	3
6	19	6
6	20	4
6	21	5
6	22	7
6	23	2
6	24	2
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	0
7	11	5
7	12	0
7	13	4
7	14	4
7	15	1
7	16	2
7	17	0
7	18	5
7	19	2
7	20	3
7	21	0
7	22	3
7	23	0
7	24	0
