day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	1
1	7	1
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	3
1	14	0
1	15	0
1	16	2
1	17	1
1	18	5
1	19	0
1	20	1
1	21	0
1	22	0
1	23	4
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	3
2	7	0
2	8	3
2	9	0
2	10	0
2	11	0
2	12	4
2	13	2
2	14	1
2	15	0
2	16	0
2	17	1
2	18	0
2	19	1
2	20	1
2	21	3
2	22	2
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	3
3	8	4
3	9	0
3	10	1
3	11	2
3	12	2
3	13	2
3	14	2
3	15	0
3	16	1
3	17	0
3	18	0
3	19	1
3	20	0
3	21	2
3	22	0
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	1
4	8	2
4	9	1
4	10	4
4	11	2
4	12	0
4	13	1
4	14	0
4	15	1
4	16	1
4	17	0
4	18	1
4	19	0
4	20	0
4	21	0
4	22	0
4	23	2
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	5
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	3
5	13	1
5	14	0
5	15	3
5	16	5
5	17	0
5	18	0
5	19	1
5	20	2
5	21	2
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	1
6	10	1
6	11	2
6	12	0
6	13	0
6	14	1
6	15	0
6	16	0
6	17	3
6	18	3
6	19	0
6	20	1
6	21	4
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	0
7	9	1
7	10	0
7	11	1
7	12	1
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	2
7	19	5
7	20	2
7	21	1
7	22	1
7	23	0
7	24	0
