day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	1
1	7	1
1	8	1
1	9	1
1	10	2
1	11	2
1	12	2
1	13	0
1	14	1
1	15	0
1	16	2
1	17	1
1	18	2
1	19	0
1	20	1
1	21	3
1	22	0
1	23	2
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	1
2	8	1
2	9	1
2	10	0
2	11	0
2	12	0
2	13	0
2	14	2
2	15	0
2	16	3
2	17	1
2	18	1
2	19	3
2	20	5
2	21	2
2	22	4
2	23	2
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	4
3	7	2
3	8	4
3	9	0
3	10	5
3	11	2
3	12	2
3	13	0
3	14	1
3	15	4
3	16	3
3	17	1
3	18	1
3	19	3
3	20	3
3	21	5
3	22	0
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	2
4	6	2
4	7	1
4	8	3
4	9	2
4	10	2
4	11	2
4	12	1
4	13	3
4	14	2
4	15	2
4	16	1
4	17	0
4	18	1
4	19	1
4	20	3
4	21	0
4	22	1
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	1
5	6	0
5	7	0
5	8	4
5	9	0
5	10	2
5	11	1
5	12	1
5	13	1
5	14	1
5	15	1
5	16	3
5	17	0
5	18	0
5	19	0
5	20	1
5	21	0
5	22	2
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	2
6	8	1
6	9	0
6	10	1
6	11	1
6	12	0
6	13	0
6	14	1
6	15	0
6	16	2
6	17	2
6	18	1
6	19	2
6	20	1
6	21	3
6	22	4
6	23	0
6	24	2
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	0
7	8	1
7	9	0
7	10	0
7	11	2
7	12	1
7	13	1
7	14	2
7	15	0
7	16	1
7	17	1
7	18	2
7	19	2
7	20	4
7	21	3
7	22	0
7	23	0
7	24	0
