day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	3
1	9	0
1	10	0
1	11	3
1	12	1
1	13	1
1	14	0
1	15	1
1	16	2
1	17	8
1	18	2
1	19	2
1	20	1
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	4
2	9	5
2	10	2
2	11	0
2	12	2
2	13	1
2	14	1
2	15	1
2	16	5
2	17	11
2	18	8
2	19	2
2	20	1
2	21	2
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	5
3	9	2
3	10	1
3	11	0
3	12	1
3	13	3
3	14	2
3	15	3
3	16	6
3	17	7
3	18	0
3	19	1
3	20	2
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	6
4	9	6
4	10	1
4	11	1
4	12	1
4	13	10
4	14	8
4	15	1
4	16	2
4	17	10
4	18	3
4	19	0
4	20	0
4	21	7
4	22	2
4	23	0
4	24	0
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	5
5	9	5
5	10	4
5	11	4
5	12	6
5	13	3
5	14	5
5	15	1
5	16	4
5	17	7
5	18	8
5	19	0
5	20	4
5	21	3
5	22	6
5	23	3
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	1
6	6	0
6	7	0
6	8	4
6	9	3
6	10	2
6	11	3
6	12	2
6	13	6
6	14	3
6	15	2
6	16	2
6	17	5
6	18	0
6	19	0
6	20	0
6	21	0
6	22	1
6	23	0
6	24	0
7	1	2
7	2	0
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	4
7	9	0
7	10	2
7	11	1
7	12	1
7	13	3
7	14	1
7	15	1
7	16	0
7	17	3
7	18	1
7	19	1
7	20	0
7	21	2
7	22	1
7	23	0
7	24	0
