day	hour	value
1	1	0
1	2	4
1	3	0
1	4	4
1	5	0
1	6	0
1	7	0
1	8	2
1	9	1
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	4
1	16	2
1	17	3
1	18	2
1	19	0
1	20	3
1	21	2
1	22	2
1	23	0
1	24	3
2	1	1
2	2	1
2	3	1
2	4	1
2	5	3
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	1
2	12	0
2	13	0
2	14	1
2	15	8
2	16	6
2	17	8
2	18	3
2	19	7
2	20	3
2	21	5
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	4
3	4	7
3	5	18
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	6
3	14	2
3	15	12
3	16	2
3	17	0
3	18	4
3	19	0
3	20	1
3	21	1
3	22	1
3	23	0
3	24	1
4	1	5
4	2	1
4	3	0
4	4	0
4	5	2
4	6	0
4	7	0
4	8	0
4	9	0
4	10	1
4	11	2
4	12	1
4	13	0
4	14	0
4	15	5
4	16	2
4	17	7
4	18	1
4	19	1
4	20	3
4	21	3
4	22	0
4	23	2
4	24	2
5	1	4
5	2	1
5	3	1
5	4	0
5	5	2
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	5
5	13	1
5	14	3
5	15	4
5	16	3
5	17	9
5	18	9
5	19	1
5	20	3
5	21	2
5	22	3
5	23	0
5	24	0
6	1	2
6	2	0
6	3	0
6	4	4
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	10
6	16	2
6	17	1
6	18	2
6	19	1
6	20	1
6	21	1
6	22	0
6	23	1
6	24	1
7	1	3
7	2	1
7	3	0
7	4	0
7	5	0
7	6	2
7	7	2
7	8	7
7	9	0
7	10	0
7	11	0
7	12	1
7	13	0
7	14	8
7	15	0
7	16	0
7	17	0
7	18	3
7	19	6
7	20	4
7	21	0
7	22	0
7	23	0
7	24	0
