day	hour	value
1	1	1
1	2	0
1	3	0
1	4	2
1	5	2
1	6	12
1	7	0
1	8	1
1	9	1
1	10	0
1	11	2
1	12	5
1	13	0
1	14	2
1	15	4
1	16	4
1	17	2
1	18	3
1	19	0
1	20	1
1	21	1
1	22	2
1	23	0
1	24	1
2	1	1
2	2	1
2	3	0
2	4	2
2	5	3
2	6	11
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	1
2	14	5
2	15	6
2	16	2
2	17	0
2	18	1
2	19	0
2	20	0
2	21	2
2	22	0
2	23	0
2	24	0
3	1	0
3	2	2
3	3	1
3	4	3
3	5	9
3	6	13
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	1
3	14	6
3	15	2
3	16	1
3	17	6
3	18	2
3	19	1
3	20	0
3	21	1
3	22	1
3	23	1
3	24	1
4	1	1
4	2	0
4	3	2
4	4	0
4	5	0
4	6	13
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	0
4	13	0
4	14	0
4	15	3
4	16	0
4	17	2
4	18	0
4	19	2
4	20	0
4	21	1
4	22	0
4	23	0
4	24	0
5	1	2
5	2	3
5	3	1
5	4	0
5	5	0
5	6	14
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	2
5	13	0
5	14	3
5	15	2
5	16	1
5	17	2
5	18	6
5	19	2
5	20	1
5	21	0
5	22	0
5	23	0
5	24	0
6	1	1
6	2	0
6	3	0
6	4	5
6	5	0
6	6	12
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	1
6	15	4
6	16	3
6	17	1
6	18	3
6	19	1
6	20	0
6	21	0
6	22	0
6	23	1
6	24	2
7	1	1
7	2	0
7	3	0
7	4	0
7	5	3
7	6	13
7	7	0
7	8	2
7	9	0
7	10	0
7	11	0
7	12	1
7	13	0
7	14	1
7	15	1
7	16	0
7	17	0
7	18	4
7	19	4
7	20	2
7	21	0
7	22	0
7	23	2
7	24	0
