day	hour	value
1	1	4
1	2	0
1	3	3
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	0
1	12	2
1	13	1
1	14	1
1	15	1
1	16	1
1	17	1
1	18	0
1	19	2
1	20	5
1	21	3
1	22	3
1	23	8
1	24	12
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	4
2	10	1
2	11	1
2	12	0
2	13	0
2	14	9
2	15	1
2	16	0
2	17	4
2	18	5
2	19	3
2	20	0
2	21	0
2	22	2
2	23	3
2	24	4
3	1	0
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	0
3	10	1
3	11	2
3	12	0
3	13	0
3	14	2
3	15	3
3	16	0
3	17	0
3	18	3
3	19	0
3	20	4
3	21	5
3	22	1
3	23	0
3	24	2
4	1	0
4	2	0
4	3	0
4	4	0
4	5	1
4	6	4
4	7	0
4	8	1
4	9	0
4	10	0
4	11	0
4	12	0
4	13	4
4	14	0
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	1
4	21	0
4	22	0
4	23	4
4	24	7
5	1	6
5	2	0
5	3	1
5	4	0
5	5	2
5	6	0
5	7	0
5	8	1
5	9	2
5	10	0
5	11	0
5	12	1
5	13	1
5	14	0
5	15	4
5	16	0
5	17	1
5	18	5
5	19	2
5	20	10
5	21	7
5	22	4
5	23	3
5	24	5
6	1	0
6	2	5
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	2
6	10	2
6	11	1
6	12	1
6	13	0
6	14	3
6	15	0
6	16	1
6	17	2
6	18	2
6	19	0
6	20	6
6	21	3
6	22	6
6	23	4
6	24	3
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	3
7	12	1
7	13	2
7	14	0
7	15	2
7	16	4
7	17	9
7	18	1
7	19	3
7	20	3
7	21	4
7	22	3
7	23	7
7	24	3
