day	hour	value
1	1	2
1	2	2
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	0
1	10	2
1	11	1
1	12	5
1	13	0
1	14	1
1	15	2
1	16	3
1	17	5
1	18	1
1	19	4
1	20	8
1	21	5
1	22	5
1	23	4
1	24	3
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	2
2	9	2
2	10	2
2	11	7
2	12	2
2	13	0
2	14	4
2	15	3
2	16	2
2	17	5
2	18	5
2	19	1
2	20	2
2	21	8
2	22	5
2	23	4
2	24	5
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	0
3	7	1
3	8	0
3	9	0
3	10	3
3	11	2
3	12	2
3	13	3
3	14	1
3	15	2
3	16	0
3	17	0
3	18	3
3	19	1
3	20	2
3	21	3
3	22	5
3	23	3
3	24	5
4	1	4
4	2	2
4	3	0
4	4	0
4	5	1
4	6	0
4	7	1
4	8	1
4	9	1
4	10	0
4	11	1
4	12	1
4	13	3
4	14	2
4	15	1
4	16	1
4	17	0
4	18	4
4	19	1
4	20	3
4	21	7
4	22	6
4	23	1
4	24	5
5	1	2
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	2
5	10	4
5	11	4
5	12	5
5	13	3
5	14	1
5	15	2
5	16	1
5	17	0
5	18	3
5	19	2
5	20	3
5	21	0
5	22	4
5	23	0
5	24	1
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	2
6	10	1
6	11	4
6	12	2
6	13	1
6	14	1
6	15	0
6	16	1
6	17	4
6	18	2
6	19	1
6	20	2
6	21	4
6	22	3
6	23	4
6	24	1
7	1	0
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	2
7	10	2
7	11	2
7	12	3
7	13	5
7	14	3
7	15	5
7	16	6
7	17	3
7	18	2
7	19	3
7	20	3
7	21	2
7	22	5
7	23	3
7	24	3
