day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	1
1	6	6
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	8
1	13	3
1	14	0
1	15	0
1	16	0
1	17	0
1	18	4
1	19	0
1	20	5
1	21	12
1	22	0
1	23	11
1	24	17
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	14
2	7	0
2	8	0
2	9	0
2	10	1
2	11	4
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
2	18	0
2	19	0
2	20	10
2	21	0
2	22	3
2	23	7
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	8
3	8	0
3	9	0
3	10	12
3	11	0
3	12	1
3	13	0
3	14	5
3	15	0
3	16	4
3	17	6
3	18	0
3	19	23
3	20	16
3	21	4
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	6
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	10
4	13	17
4	14	1
4	15	0
4	16	0
4	17	3
4	18	0
4	19	2
4	20	30
4	21	18
4	22	8
4	23	15
4	24	3
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	6
5	9	0
5	10	0
5	11	9
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	3
6	11	1
6	12	0
6	13	0
6	14	0
6	15	2
6	16	1
6	17	0
6	18	0
6	19	0
6	20	0
6	21	4
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	2
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	4
7	23	0
7	24	0
