day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	2
1	12	7
1	13	5
1	14	1
1	15	1
1	16	0
1	17	2
1	18	10
1	19	44
1	20	6
1	21	6
1	22	1
1	23	6
1	24	10
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	2
2	10	16
2	11	4
2	12	4
2	13	0
2	14	4
2	15	12
2	16	8
2	17	12
2	18	6
2	19	3
2	20	32
2	21	6
2	22	3
2	23	5
2	24	1
3	1	3
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	4
3	11	5
3	12	2
3	13	2
3	14	2
3	15	0
3	16	0
3	17	0
3	18	0
3	19	1
3	20	2
3	21	0
3	22	0
3	23	10
3	24	3
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	1
4	11	0
4	12	1
4	13	0
4	14	1
4	15	13
4	16	7
4	17	0
4	18	7
4	19	2
4	20	0
4	21	15
4	22	2
4	23	1
4	24	0
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	3
5	11	0
5	12	0
5	13	3
5	14	0
5	15	4
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	3
5	22	0
5	23	0
5	24	0
6	1	5
6	2	2
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	1
6	13	4
6	14	1
6	15	0
6	16	0
6	17	2
6	18	2
6	19	0
6	20	3
6	21	7
6	22	3
6	23	4
6	24	1
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	0
7	11	2
7	12	0
7	13	0
7	14	1
7	15	11
7	16	0
7	17	0
7	18	4
7	19	1
7	20	3
7	21	12
7	22	0
7	23	1
7	24	0
