day	hour	value
1	1	0
1	2	0
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	2
1	11	2
1	12	7
1	13	7
1	14	3
1	15	4
1	16	1
1	17	2
1	18	6
1	19	5
1	20	0
1	21	0
1	22	0
1	23	2
1	24	0
2	1	4
2	2	0
2	3	2
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	0
2	11	2
2	12	3
2	13	4
2	14	4
2	15	1
2	16	4
2	17	4
2	18	2
2	19	6
2	20	2
2	21	1
2	22	1
2	23	3
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	2
3	11	1
3	12	2
3	13	6
3	14	1
3	15	5
3	16	7
3	17	2
3	18	4
3	19	5
3	20	3
3	21	0
3	22	0
3	23	2
3	24	0
4	1	3
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	3
4	11	1
4	12	4
4	13	4
4	14	5
4	15	5
4	16	1
4	17	2
4	18	3
4	19	1
4	20	1
4	21	1
4	22	0
4	23	2
4	24	2
5	1	1
5	2	3
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	3
5	10	1
5	11	0
5	12	2
5	13	2
5	14	14
5	15	3
5	16	6
5	17	1
5	18	5
5	19	5
5	20	0
5	21	2
5	22	1
5	23	0
5	24	0
6	1	0
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	1
6	14	1
6	15	5
6	16	0
6	17	2
6	18	0
6	19	0
6	20	1
6	21	1
6	22	3
6	23	3
6	24	1
7	1	0
7	2	1
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	1
7	12	0
7	13	0
7	14	1
7	15	2
7	16	0
7	17	1
7	18	1
7	19	1
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
