day	hour	value
1	1	1
1	2	5
1	3	1
1	4	0
1	5	0
1	6	0
1	7	1
1	8	0
1	9	0
1	10	1
1	11	0
1	12	0
1	13	1
1	14	2
1	15	1
1	16	4
1	17	2
1	18	0
1	19	1
1	20	2
1	21	0
1	22	1
1	23	1
1	24	0
2	1	2
2	2	1
2	3	1
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	0
2	12	1
2	13	0
2	14	2
2	15	0
2	16	2
2	17	1
2	18	0
2	19	3
2	20	3
2	21	13
2	22	9
2	23	2
2	24	3
3	1	2
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	0
3	10	0
3	11	0
3	12	1
3	13	0
3	14	0
3	15	3
3	16	0
3	17	3
3	18	3
3	19	3
3	20	2
3	21	4
3	22	3
3	23	0
3	24	1
4	1	2
4	2	0
4	3	4
4	4	0
4	5	1
4	6	0
4	7	0
4	8	1
4	9	0
4	10	1
4	11	0
4	12	0
4	13	1
4	14	0
4	15	1
4	16	1
4	17	1
4	18	1
4	19	1
4	20	3
4	21	2
4	22	5
4	23	2
4	24	3
5	1	3
5	2	3
5	3	2
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	2
5	11	0
5	12	0
5	13	0
5	14	1
5	15	0
5	16	1
5	17	1
5	18	2
5	19	1
5	20	2
5	21	3
5	22	1
5	23	2
5	24	1
6	1	8
6	2	0
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	0
6	10	0
6	11	1
6	12	0
6	13	0
6	14	1
6	15	4
6	16	0
6	17	0
6	18	2
6	19	2
6	20	2
6	21	3
6	22	2
6	23	4
6	24	3
7	1	1
7	2	2
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	1
7	14	2
7	15	2
7	16	0
7	17	0
7	18	2
7	19	2
7	20	2
7	21	2
7	22	0
7	23	4
7	24	1
