day	hour	value
1	1	3
1	2	1
1	3	2
1	4	2
1	5	1
1	6	0
1	7	3
1	8	2
1	9	4
1	10	5
1	11	7
1	12	5
1	13	0
1	14	3
1	15	7
1	16	8
1	17	4
1	18	0
1	19	7
1	20	3
1	21	5
1	22	1
1	23	2
1	24	1
2	1	0
2	2	2
2	3	1
2	4	3
2	5	4
2	6	1
2	7	3
2	8	2
2	9	2
2	10	5
2	11	7
2	12	3
2	13	1
2	14	7
2	15	3
2	16	4
2	17	2
2	18	1
2	19	0
2	20	4
2	21	3
2	22	5
2	23	1
2	24	4
3	1	3
3	2	4
3	3	1
3	4	0
3	5	2
3	6	1
3	7	2
3	8	1
3	9	5
3	10	7
3	11	5
3	12	4
3	13	2
3	14	5
3	15	7
3	16	0
3	17	7
3	18	4
3	19	1
3	20	6
3	21	3
3	22	3
3	23	2
3	24	4
4	1	5
4	2	0
4	3	2
4	4	0
4	5	2
4	6	2
4	7	4
4	8	4
4	9	0
4	10	3
4	11	6
4	12	3
4	13	5
4	14	7
4	15	5
4	16	4
4	17	2
4	18	3
4	19	4
4	20	4
4	21	1
4	22	3
4	23	3
4	24	1
5	1	1
5	2	0
5	3	2
5	4	2
5	5	1
5	6	4
5	7	0
5	8	1
5	9	1
5	10	4
5	11	0
5	12	6
5	13	6
5	14	6
5	15	1
5	16	1
5	17	2
5	18	5
5	19	1
5	20	0
5	21	2
5	22	2
5	23	2
5	24	2
6	1	0
6	2	2
6	3	0
6	4	1
6	5	2
6	6	0
6	7	1
6	8	1
6	9	0
6	10	1
6	11	4
6	12	1
6	13	2
6	14	2
6	15	0
6	16	2
6	17	1
6	18	0
6	19	1
6	20	0
6	21	3
6	22	2
6	23	1
6	24	2
7	1	0
7	2	2
7	3	2
7	4	1
7	5	0
7	6	0
7	7	0
7	8	2
7	9	0
7	10	1
7	11	2
7	12	2
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	1
7	21	1
7	22	4
7	23	4
7	24	1
