day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	2
1	10	0
1	11	2
1	12	0
1	13	1
1	14	0
1	15	4
1	16	5
1	17	3
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	5
2	4	0
2	5	2
2	6	1
2	7	0
2	8	0
2	9	1
2	10	0
2	11	0
2	12	1
2	13	0
2	14	2
2	15	1
2	16	1
2	17	3
2	18	5
2	19	1
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	3
3	3	2
3	4	2
3	5	1
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	1
3	12	0
3	13	3
3	14	4
3	15	4
3	16	4
3	17	4
3	18	1
3	19	1
3	20	2
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	2
4	3	1
4	4	0
4	5	2
4	6	1
4	7	2
4	8	0
4	9	0
4	10	0
4	11	0
4	12	1
4	13	4
4	14	1
4	15	5
4	16	1
4	17	4
4	18	5
4	19	1
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	1
5	4	1
5	5	0
5	6	0
5	7	0
5	8	1
5	9	1
5	10	0
5	11	1
5	12	2
5	13	0
5	14	3
5	15	1
5	16	1
5	17	1
5	18	4
5	19	2
5	20	2
5	21	0
5	22	1
5	23	0
5	24	0
6	1	0
6	2	0
6	3	2
6	4	4
6	5	6
6	6	3
6	7	0
6	8	1
6	9	1
6	10	0
6	11	2
6	12	0
6	13	0
6	14	3
6	15	2
6	16	3
6	17	4
6	18	4
6	19	2
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	2
7	4	4
7	5	1
7	6	2
7	7	1
7	8	0
7	9	7
7	10	1
7	11	0
7	12	1
7	13	0
7	14	1
7	15	2
7	16	3
7	17	7
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
