day	hour	value
1	1	4
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	2
1	9	1
1	10	2
1	11	0
1	12	1
1	13	3
1	14	2
1	15	3
1	16	7
1	17	8
1	18	6
1	19	9
1	20	9
1	21	10
1	22	12
1	23	4
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	2
2	9	3
2	10	1
2	11	0
2	12	0
2	13	5
2	14	1
2	15	11
2	16	10
2	17	5
2	18	2
2	19	3
2	20	6
2	21	5
2	22	10
2	23	3
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	1
3	10	3
3	11	5
3	12	3
3	13	6
3	14	7
3	15	9
3	16	5
3	17	5
3	18	3
3	19	7
3	20	2
3	21	4
3	22	1
3	23	7
3	24	3
4	1	2
4	2	0
4	3	0
4	4	0
4	5	1
4	6	0
4	7	1
4	8	2
4	9	0
4	10	2
4	11	7
4	12	1
4	13	4
4	14	2
4	15	5
4	16	3
4	17	4
4	18	4
4	19	7
4	20	4
4	21	7
4	22	4
4	23	3
4	24	2
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	1
5	9	1
5	10	10
5	11	2
5	12	6
5	13	2
5	14	2
5	15	10
5	16	3
5	17	7
5	18	4
5	19	3
5	20	7
5	21	13
5	22	5
5	23	2
5	24	5
6	1	6
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	6
6	10	5
6	11	4
6	12	7
6	13	4
6	14	3
6	15	3
6	16	5
6	17	2
6	18	3
6	19	1
6	20	2
6	21	3
6	22	3
6	23	2
6	24	4
7	1	3
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	2
7	11	1
7	12	4
7	13	7
7	14	5
7	15	2
7	16	2
7	17	5
7	18	3
7	19	5
7	20	2
7	21	5
7	22	7
7	23	7
7	24	3
