day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	1
1	14	1
1	15	0
1	16	2
1	17	0
1	18	0
1	19	0
1	20	1
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	1
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
2	18	0
2	19	1
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	1
3	13	3
3	14	8
3	15	6
3	16	4
3	17	1
3	18	2
3	19	0
3	20	2
3	21	1
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	25
4	13	21
4	14	37
4	15	7
4	16	9
4	17	9
4	18	2
4	19	4
4	20	2
4	21	2
4	22	1
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	1
5	12	9
5	13	13
5	14	10
5	15	18
5	16	11
5	17	4
5	18	6
5	19	9
5	20	9
5	21	7
5	22	6
5	23	2
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	2
6	12	4
6	13	7
6	14	5
6	15	5
6	16	5
6	17	3
6	18	4
6	19	5
6	20	6
6	21	6
6	22	4
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	1
7	12	4
7	13	6
7	14	6
7	15	4
7	16	5
7	17	7
7	18	5
7	19	5
7	20	4
7	21	5
7	22	3
7	23	0
7	24	0
