day	hour	value
1	1	8
1	2	1
1	3	7
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	6
1	11	9
1	12	0
1	13	7
1	14	0
1	15	6
1	16	6
1	17	1
1	18	6
1	19	0
1	20	1
1	21	6
1	22	47
1	23	7
1	24	1
2	1	6
2	2	1
2	3	6
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	5
2	11	12
2	12	1
2	13	5
2	14	2
2	15	8
2	16	6
2	17	1
2	18	6
2	19	0
2	20	1
2	21	5
2	22	1
2	23	6
2	24	0
3	1	5
3	2	0
3	3	7
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	5
3	11	10
3	12	0
3	13	5
3	14	0
3	15	6
3	16	5
3	17	1
3	18	5
3	19	0
3	20	0
3	21	6
3	22	0
3	23	5
3	24	1
4	1	7
4	2	0
4	3	7
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	7
4	11	3
4	12	0
4	13	7
4	14	1
4	15	7
4	16	7
4	17	1
4	18	7
4	19	0
4	20	0
4	21	8
4	22	0
4	23	7
4	24	0
5	1	7
5	2	0
5	3	6
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	8
5	11	1
5	12	2
5	13	7
5	14	2
5	15	7
5	16	11
5	17	0
5	18	6
5	19	0
5	20	1
5	21	6
5	22	0
5	23	8
5	24	0
6	1	7
6	2	0
6	3	6
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	6
6	11	0
6	12	0
6	13	6
6	14	0
6	15	5
6	16	6
6	17	0
6	18	6
6	19	1
6	20	0
6	21	6
6	22	0
6	23	7
6	24	0
7	1	6
7	2	1
7	3	7
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	5
7	11	0
7	12	1
7	13	7
7	14	1
7	15	9
7	16	6
7	17	2
7	18	7
7	19	0
7	20	4
7	21	6
7	22	1
7	23	6
7	24	1
