day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	1
1	12	15
1	13	8
1	14	11
1	15	4
1	16	17
1	17	9
1	18	8
1	19	17
1	20	0
1	21	0
1	22	1
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	3
2	12	19
2	13	12
2	14	13
2	15	7
2	16	19
2	17	5
2	18	5
2	19	17
2	20	1
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	5
3	12	15
3	13	12
3	14	11
3	15	6
3	16	15
3	17	13
3	18	10
3	19	13
3	20	2
3	21	0
3	22	0
3	23	0
3	24	1
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	16
4	13	6
4	14	22
4	15	11
4	16	17
4	17	6
4	18	9
4	19	22
4	20	4
4	21	5
4	22	2
4	23	0
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	2
5	12	14
5	13	10
5	14	8
5	15	12
5	16	21
5	17	9
5	18	13
5	19	14
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	1
7	23	0
7	24	0
