day	hour	value
1	1	5
1	2	2
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	2
1	12	2
1	13	1
1	14	0
1	15	1
1	16	2
1	17	2
1	18	2
1	19	1
1	20	0
1	21	1
1	22	3
1	23	5
1	24	1
2	1	0
2	2	1
2	3	0
2	4	1
2	5	0
2	6	0
2	7	0
2	8	0
2	9	2
2	10	0
2	11	3
2	12	0
2	13	1
2	14	1
2	15	2
2	16	9
2	17	1
2	18	8
2	19	2
2	20	7
2	21	2
2	22	1
2	23	7
2	24	3
3	1	5
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	7
3	9	3
3	10	5
3	11	3
3	12	8
3	13	6
3	14	6
3	15	6
3	16	9
3	17	1
3	18	12
3	19	11
3	20	20
3	21	11
3	22	2
3	23	3
3	24	6
4	1	8
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	1
4	13	5
4	14	1
4	15	1
4	16	0
4	17	0
4	18	0
4	19	5
4	20	1
4	21	0
4	22	0
4	23	2
4	24	5
5	1	2
5	2	3
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	1
5	13	0
5	14	2
5	15	6
5	16	4
5	17	3
5	18	3
5	19	5
5	20	5
5	21	3
5	22	3
5	23	7
5	24	3
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	1
6	17	6
6	18	0
6	19	0
6	20	5
6	21	0
6	22	0
6	23	5
6	24	3
7	1	0
7	2	2
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	2
7	15	1
7	16	2
7	17	4
7	18	1
7	19	1
7	20	0
7	21	0
7	22	12
7	23	10
7	24	2
