day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	2
1	10	13
1	11	6
1	12	2
1	13	3
1	14	5
1	15	6
1	16	3
1	17	4
1	18	0
1	19	0
1	20	0
1	21	2
1	22	1
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	3
2	10	21
2	11	0
2	12	4
2	13	2
2	14	6
2	15	4
2	16	8
2	17	4
2	18	0
2	19	5
2	20	9
2	21	2
2	22	0
2	23	0
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	2
3	11	5
3	12	4
3	13	3
3	14	2
3	15	1
3	16	6
3	17	2
3	18	5
3	19	2
3	20	2
3	21	5
3	22	5
3	23	1
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	8
4	11	22
4	12	7
4	13	18
4	14	6
4	15	12
4	16	13
4	17	3
4	18	4
4	19	0
4	20	0
4	21	0
4	22	1
4	23	2
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	4
5	10	4
5	11	2
5	12	5
5	13	13
5	14	4
5	15	6
5	16	4
5	17	74
5	18	19
5	19	1
5	20	0
5	21	0
5	22	1
5	23	0
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	5
6	10	0
6	11	2
6	12	0
6	13	1
6	14	2
6	15	0
6	16	0
6	17	0
6	18	2
6	19	0
6	20	1
6	21	0
6	22	0
6	23	2
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	3
7	12	2
7	13	1
7	14	0
7	15	2
7	16	1
7	17	1
7	18	2
7	19	1
7	20	2
7	21	1
7	22	0
7	23	0
7	24	0
