day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	2
1	10	2
1	11	4
1	12	5
1	13	5
1	14	3
1	15	13
1	16	16
1	17	0
1	18	8
1	19	3
1	20	0
1	21	0
1	22	0
1	23	9
1	24	7
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	3
2	11	14
2	12	9
2	13	10
2	14	3
2	15	12
2	16	6
2	17	11
2	18	8
2	19	1
2	20	3
2	21	12
2	22	18
2	23	11
2	24	5
3	1	9
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	5
3	9	7
3	10	24
3	11	5
3	12	2
3	13	4
3	14	8
3	15	0
3	16	5
3	17	4
3	18	5
3	19	0
3	20	2
3	21	3
3	22	4
3	23	7
3	24	2
4	1	3
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	4
4	10	2
4	11	5
4	12	3
4	13	13
4	14	5
4	15	18
4	16	5
4	17	17
4	18	9
4	19	11
4	20	2
4	21	2
4	22	0
4	23	3
4	24	3
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	3
5	10	4
5	11	2
5	12	10
5	13	5
5	14	2
5	15	1
5	16	6
5	17	2
5	18	0
5	19	0
5	20	0
5	21	3
5	22	2
5	23	0
5	24	0
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	1
6	13	5
6	14	5
6	15	1
6	16	1
6	17	2
6	18	0
6	19	0
6	20	0
6	21	0
6	22	2
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	2
7	6	0
7	7	0
7	8	0
7	9	0
7	10	5
7	11	0
7	12	1
7	13	0
7	14	0
7	15	2
7	16	7
7	17	2
7	18	1
7	19	0
7	20	4
7	21	1
7	22	14
7	23	5
7	24	11
