day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	1
1	12	2
1	13	4
1	14	5
1	15	1
1	16	2
1	17	4
1	18	5
1	19	4
1	20	4
1	21	2
1	22	2
1	23	1
1	24	3
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	2
2	10	3
2	11	7
2	12	3
2	13	2
2	14	1
2	15	4
2	16	2
2	17	1
2	18	0
2	19	4
2	20	1
2	21	2
2	22	2
2	23	1
2	24	1
3	1	2
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	2
3	11	4
3	12	4
3	13	4
3	14	3
3	15	6
3	16	8
3	17	4
3	18	1
3	19	2
3	20	2
3	21	2
3	22	4
3	23	2
3	24	4
4	1	1
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	1
4	10	5
4	11	3
4	12	5
4	13	7
4	14	3
4	15	3
4	16	3
4	17	4
4	18	3
4	19	2
4	20	2
4	21	2
4	22	0
4	23	4
4	24	1
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	1
5	11	5
5	12	3
5	13	10
5	14	5
5	15	4
5	16	2
5	17	3
5	18	12
5	19	7
5	20	1
5	21	6
5	22	2
5	23	3
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	1
6	10	1
6	11	2
6	12	3
6	13	4
6	14	4
6	15	2
6	16	3
6	17	4
6	18	3
6	19	3
6	20	9
6	21	3
6	22	3
6	23	2
6	24	2
7	1	3
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	1
7	12	3
7	13	1
7	14	4
7	15	0
7	16	2
7	17	4
7	18	1
7	19	3
7	20	1
7	21	2
7	22	1
7	23	1
7	24	2
