day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	8
1	9	2
1	10	1
1	11	2
1	12	0
1	13	2
1	14	2
1	15	2
1	16	0
1	17	1
1	18	0
1	19	1
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	4
2	9	8
2	10	3
2	11	7
2	12	3
2	13	2
2	14	1
2	15	3
2	16	5
2	17	1
2	18	5
2	19	0
2	20	0
2	21	1
2	22	8
2	23	3
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	4
3	8	2
3	9	0
3	10	2
3	11	2
3	12	1
3	13	1
3	14	5
3	15	2
3	16	1
3	17	2
3	18	1
3	19	0
3	20	10
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	3
4	8	2
4	9	0
4	10	2
4	11	2
4	12	0
4	13	3
4	14	0
4	15	0
4	16	2
4	17	0
4	18	5
4	19	0
4	20	0
4	21	0
4	22	1
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	3
5	9	4
5	10	1
5	11	1
5	12	6
5	13	3
5	14	5
5	15	2
5	16	5
5	17	1
5	18	1
5	19	0
5	20	0
5	21	0
5	22	2
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	3
6	11	2
6	12	4
6	13	1
6	14	0
6	15	3
6	16	1
6	17	1
6	18	0
6	19	0
6	20	1
6	21	2
6	22	1
6	23	1
6	24	0
7	1	0
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	1
7	12	3
7	13	3
7	14	1
7	15	2
7	16	0
7	17	0
7	18	0
7	19	0
7	20	2
7	21	0
7	22	3
7	23	0
7	24	0
