day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	1
1	7	5
1	8	2
1	9	10
1	10	5
1	11	3
1	12	4
1	13	1
1	14	6
1	15	2
1	16	0
1	17	0
1	18	4
1	19	1
1	20	2
1	21	4
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	3
2	7	10
2	8	5
2	9	7
2	10	0
2	11	4
2	12	0
2	13	3
2	14	3
2	15	3
2	16	1
2	17	2
2	18	0
2	19	0
2	20	2
2	21	36
2	22	13
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	8
3	8	5
3	9	0
3	10	7
3	11	2
3	12	3
3	13	1
3	14	0
3	15	1
3	16	0
3	17	4
3	18	3
3	19	3
3	20	6
3	21	1
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	10
4	8	6
4	9	1
4	10	4
4	11	5
4	12	3
4	13	2
4	14	0
4	15	3
4	16	3
4	17	1
4	18	4
4	19	3
4	20	2
4	21	1
4	22	3
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	10
5	8	5
5	9	2
5	10	4
5	11	2
5	12	10
5	13	9
5	14	5
5	15	2
5	16	7
5	17	4
5	18	3
5	19	0
5	20	1
5	21	2
5	22	0
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	4
6	10	10
6	11	3
6	12	6
6	13	5
6	14	1
6	15	1
6	16	0
6	17	2
6	18	1
6	19	3
6	20	2
6	21	1
6	22	2
6	23	2
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	3
7	10	12
7	11	1
7	12	5
7	13	14
7	14	1
7	15	2
7	16	1
7	17	1
7	18	1
7	19	0
7	20	2
7	21	3
7	22	2
7	23	3
7	24	0
