day	hour	value
1	1	3
1	2	5
1	3	2
1	4	1
1	5	1
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	2
1	12	0
1	13	0
1	14	2
1	15	1
1	16	0
1	17	1
1	18	0
1	19	0
1	20	1
1	21	1
1	22	1
1	23	0
1	24	1
2	1	9
2	2	1
2	3	1
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	2
2	13	0
2	14	0
2	15	1
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	1
2	22	0
2	23	1
2	24	3
3	1	2
3	2	3
3	3	2
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	0
3	12	1
3	13	1
3	14	1
3	15	2
3	16	1
3	17	2
3	18	2
3	19	2
3	20	6
3	21	3
3	22	0
3	23	1
3	24	2
4	1	1
4	2	1
4	3	0
4	4	1
4	5	1
4	6	0
4	7	0
4	8	0
4	9	1
4	10	0
4	11	1
4	12	2
4	13	2
4	14	3
4	15	3
4	16	4
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	1
5	1	7
5	2	0
5	3	2
5	4	1
5	5	3
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	0
5	12	1
5	13	1
5	14	1
5	15	4
5	16	0
5	17	0
5	18	0
5	19	3
5	20	0
5	21	2
5	22	3
5	23	4
5	24	0
6	1	4
6	2	0
6	3	3
6	4	0
6	5	0
6	6	1
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	2
6	16	1
6	17	0
6	18	0
6	19	1
6	20	0
6	21	2
6	22	4
6	23	0
6	24	0
7	1	3
7	2	0
7	3	0
7	4	1
7	5	0
7	6	0
7	7	0
7	8	1
7	9	0
7	10	0
7	11	0
7	12	1
7	13	6
7	14	0
7	15	1
7	16	6
7	17	1
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	1
7	24	1
