day	hour	value
1	1	2
1	2	6
1	3	1
1	4	3
1	5	0
1	6	1
1	7	0
1	8	0
1	9	1
1	10	0
1	11	2
1	12	1
1	13	2
1	14	3
1	15	2
1	16	1
1	17	2
1	18	0
1	19	1
1	20	3
1	21	0
1	22	7
1	23	0
1	24	2
2	1	16
2	2	4
2	3	1
2	4	1
2	5	0
2	6	1
2	7	0
2	8	0
2	9	0
2	10	0
2	11	1
2	12	1
2	13	1
2	14	0
2	15	4
2	16	1
2	17	2
2	18	2
2	19	2
2	20	2
2	21	2
2	22	0
2	23	4
2	24	3
3	1	1
3	2	7
3	3	4
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	2
3	12	5
3	13	6
3	14	5
3	15	0
3	16	3
3	17	6
3	18	5
3	19	6
3	20	3
3	21	4
3	22	2
3	23	1
3	24	4
4	1	3
4	2	5
4	3	0
4	4	2
4	5	3
4	6	2
4	7	1
4	8	0
4	9	0
4	10	1
4	11	0
4	12	2
4	13	0
4	14	1
4	15	6
4	16	6
4	17	2
4	18	3
4	19	3
4	20	4
4	21	2
4	22	1
4	23	0
4	24	2
5	1	7
5	2	12
5	3	13
5	4	1
5	5	2
5	6	0
5	7	0
5	8	0
5	9	0
5	10	3
5	11	3
5	12	3
5	13	2
5	14	5
5	15	6
5	16	3
5	17	2
5	18	2
5	19	8
5	20	2
5	21	7
5	22	3
5	23	2
5	24	7
6	1	10
6	2	2
6	3	4
6	4	3
6	5	0
6	6	1
6	7	0
6	8	0
6	9	0
6	10	6
6	11	0
6	12	5
6	13	7
6	14	9
6	15	4
6	16	2
6	17	5
6	18	7
6	19	4
6	20	2
6	21	7
6	22	2
6	23	3
6	24	6
7	1	3
7	2	3
7	3	3
7	4	1
7	5	2
7	6	1
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	1
7	13	2
7	14	0
7	15	1
7	16	4
7	17	2
7	18	2
7	19	0
7	20	1
7	21	6
7	22	2
7	23	9
7	24	2
