day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	3
1	8	2
1	9	7
1	10	0
1	11	2
1	12	1
1	13	0
1	14	2
1	15	1
1	16	1
1	17	0
1	18	0
1	19	1
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	0
2	7	0
2	8	1
2	9	2
2	10	1
2	11	0
2	12	2
2	13	0
2	14	1
2	15	4
2	16	2
2	17	4
2	18	4
2	19	0
2	20	0
2	21	5
2	22	58
2	23	15
2	24	8
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	0
3	7	5
3	8	1
3	9	7
3	10	2
3	11	1
3	12	1
3	13	0
3	14	4
3	15	7
3	16	3
3	17	2
3	18	0
3	19	2
3	20	6
3	21	2
3	22	1
3	23	0
3	24	1
4	1	4
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	4
4	9	7
4	10	1
4	11	1
4	12	1
4	13	4
4	14	3
4	15	2
4	16	4
4	17	0
4	18	0
4	19	0
4	20	0
4	21	1
4	22	4
4	23	3
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	9
5	9	5
5	10	6
5	11	3
5	12	3
5	13	2
5	14	1
5	15	0
5	16	0
5	17	2
5	18	1
5	19	1
5	20	1
5	21	0
5	22	1
5	23	4
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	4
6	9	2
6	10	0
6	11	2
6	12	0
6	13	1
6	14	0
6	15	2
6	16	1
6	17	0
6	18	1
6	19	0
6	20	1
6	21	0
6	22	3
6	23	0
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	3
7	10	0
7	11	0
7	12	4
7	13	6
7	14	1
7	15	1
7	16	0
7	17	5
7	18	3
7	19	0
7	20	2
7	21	3
7	22	2
7	23	0
7	24	1
