day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	1
1	6	1
1	7	6
1	8	1
1	9	5
1	10	2
1	11	3
1	12	3
1	13	3
1	14	1
1	15	2
1	16	0
1	17	0
1	18	2
1	19	0
1	20	3
1	21	10
1	22	19
1	23	6
1	24	0
2	1	0
2	2	0
2	3	2
2	4	2
2	5	1
2	6	1
2	7	11
2	8	5
2	9	6
2	10	3
2	11	2
2	12	0
2	13	0
2	14	2
2	15	2
2	16	5
2	17	3
2	18	0
2	19	1
2	20	1
2	21	12
2	22	11
2	23	6
2	24	0
3	1	0
3	2	1
3	3	2
3	4	0
3	5	0
3	6	3
3	7	2
3	8	8
3	9	1
3	10	1
3	11	2
3	12	2
3	13	3
3	14	2
3	15	1
3	16	0
3	17	0
3	18	3
3	19	3
3	20	1
3	21	9
3	22	9
3	23	4
3	24	0
4	1	0
4	2	0
4	3	1
4	4	0
4	5	2
4	6	0
4	7	3
4	8	1
4	9	3
4	10	4
4	11	4
4	12	2
4	13	0
4	14	2
4	15	0
4	16	3
4	17	2
4	18	1
4	19	4
4	20	2
4	21	6
4	22	6
4	23	3
4	24	0
5	1	0
5	2	0
5	3	1
5	4	3
5	5	1
5	6	2
5	7	3
5	8	2
5	9	3
5	10	2
5	11	3
5	12	1
5	13	3
5	14	2
5	15	1
5	16	0
5	17	3
5	18	0
5	19	2
5	20	0
5	21	0
5	22	6
5	23	2
5	24	1
6	1	0
6	2	0
6	3	1
6	4	0
6	5	0
6	6	3
6	7	4
6	8	9
6	9	3
6	10	3
6	11	2
6	12	1
6	13	4
6	14	1
6	15	3
6	16	0
6	17	2
6	18	0
6	19	2
6	20	1
6	21	2
6	22	3
6	23	3
6	24	1
7	1	0
7	2	1
7	3	0
7	4	0
7	5	3
7	6	3
7	7	3
7	8	4
7	9	3
7	10	1
7	11	1
7	12	1
7	13	0
7	14	4
7	15	0
7	16	0
7	17	3
7	18	0
7	19	1
7	20	2
7	21	6
7	22	15
7	23	3
7	24	0
