day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	3
1	9	3
1	10	3
1	11	1
1	12	3
1	13	1
1	14	0
1	15	5
1	16	3
1	17	0
1	18	1
1	19	2
1	20	6
1	21	0
1	22	2
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	3
2	9	3
2	10	5
2	11	5
2	12	1
2	13	1
2	14	2
2	15	0
2	16	3
2	17	4
2	18	2
2	19	2
2	20	7
2	21	2
2	22	3
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	1
3	7	4
3	8	3
3	9	3
3	10	1
3	11	1
3	12	2
3	13	3
3	14	1
3	15	0
3	16	0
3	17	0
3	18	4
3	19	1
3	20	0
3	21	2
3	22	1
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	3
4	10	3
4	11	2
4	12	0
4	13	1
4	14	4
4	15	2
4	16	3
4	17	0
4	18	1
4	19	1
4	20	3
4	21	4
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	5
5	10	4
5	11	1
5	12	1
5	13	4
5	14	7
5	15	2
5	16	2
5	17	2
5	18	1
5	19	0
5	20	0
5	21	3
5	22	1
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	2
6	9	0
6	10	2
6	11	1
6	12	1
6	13	0
6	14	0
6	15	1
6	16	0
6	17	0
6	18	3
6	19	1
6	20	2
6	21	3
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	0
7	9	2
7	10	0
7	11	0
7	12	0
7	13	1
7	14	0
7	15	0
7	16	0
7	17	0
7	18	3
7	19	0
7	20	5
7	21	2
7	22	2
7	23	1
7	24	0
