day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	2
1	11	9
1	12	3
1	13	4
1	14	7
1	15	2
1	16	6
1	17	4
1	18	3
1	19	15
1	20	0
1	21	3
1	22	1
1	23	7
1	24	3
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	0
2	10	1
2	11	1
2	12	3
2	13	1
2	14	8
2	15	3
2	16	4
2	17	9
2	18	1
2	19	1
2	20	4
2	21	16
2	22	8
2	23	0
2	24	9
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	2
3	11	1
3	12	0
3	13	4
3	14	1
3	15	1
3	16	1
3	17	1
3	18	8
3	19	2
3	20	2
3	21	3
3	22	2
3	23	0
3	24	14
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	1
4	11	1
4	12	0
4	13	0
4	14	3
4	15	0
4	16	7
4	17	10
4	18	2
4	19	2
4	20	4
4	21	2
4	22	0
4	23	6
4	24	1
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	3
5	11	3
5	12	1
5	13	2
5	14	3
5	15	4
5	16	4
5	17	4
5	18	0
5	19	2
5	20	2
5	21	16
5	22	0
5	23	6
5	24	5
6	1	0
6	2	3
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	2
6	12	4
6	13	4
6	14	7
6	15	3
6	16	1
6	17	2
6	18	21
6	19	0
6	20	2
6	21	4
6	22	2
6	23	7
6	24	2
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	4
7	10	0
7	11	5
7	12	1
7	13	0
7	14	0
7	15	3
7	16	1
7	17	0
7	18	4
7	19	8
7	20	9
7	21	1
7	22	1
7	23	1
7	24	11
