day	hour	value
1	1	1
1	2	4
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	1
1	10	3
1	11	2
1	12	2
1	13	3
1	14	2
1	15	2
1	16	1
1	17	2
1	18	10
1	19	2
1	20	0
1	21	2
1	22	2
1	23	5
1	24	18
2	1	1
2	2	0
2	3	1
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	3
2	10	0
2	11	2
2	12	6
2	13	2
2	14	2
2	15	2
2	16	0
2	17	1
2	18	6
2	19	2
2	20	2
2	21	7
2	22	3
2	23	1
2	24	1
3	1	0
3	2	2
3	3	1
3	4	0
3	5	1
3	6	1
3	7	0
3	8	1
3	9	3
3	10	0
3	11	2
3	12	1
3	13	2
3	14	1
3	15	4
3	16	1
3	17	6
3	18	1
3	19	2
3	20	2
3	21	3
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	1
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	4
4	11	2
4	12	5
4	13	5
4	14	3
4	15	1
4	16	3
4	17	5
4	18	6
4	19	0
4	20	1
4	21	1
4	22	1
4	23	1
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	0
5	10	3
5	11	0
5	12	2
5	13	0
5	14	2
5	15	1
5	16	0
5	17	2
5	18	2
5	19	3
5	20	1
5	21	1
5	22	0
5	23	1
5	24	0
6	1	7
6	2	11
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	5
6	11	2
6	12	0
6	13	1
6	14	1
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	1
6	21	5
6	22	0
6	23	0
6	24	4
7	1	4
7	2	2
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	2
7	9	0
7	10	2
7	11	5
7	12	6
7	13	3
7	14	3
7	15	5
7	16	4
7	17	2
7	18	2
7	19	0
7	20	7
7	21	2
7	22	1
7	23	0
7	24	0
