day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	5
1	10	5
1	11	0
1	12	10
1	13	5
1	14	5
1	15	0
1	16	2
1	17	0
1	18	2
1	19	0
1	20	7
1	21	5
1	22	10
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	3
2	11	1
2	12	3
2	13	6
2	14	4
2	15	1
2	16	3
2	17	2
2	18	14
2	19	1
2	20	1
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	4
3	11	1
3	12	3
3	13	1
3	14	3
3	15	5
3	16	0
3	17	2
3	18	10
3	19	0
3	20	14
3	21	13
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	5
4	13	0
4	14	0
4	15	2
4	16	3
4	17	11
4	18	2
4	19	2
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	10
5	11	12
5	12	1
5	13	4
5	14	1
5	15	4
5	16	1
5	17	0
5	18	0
5	19	8
5	20	9
5	21	12
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	6
6	10	4
6	11	18
6	12	1
6	13	0
6	14	1
6	15	4
6	16	12
6	17	7
6	18	1
6	19	4
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	4
7	8	2
7	9	10
7	10	9
7	11	8
7	12	5
7	13	0
7	14	8
7	15	1
7	16	0
7	17	0
7	18	0
7	19	6
7	20	11
7	21	0
7	22	0
7	23	0
7	24	0
