day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	3
1	9	2
1	10	4
1	11	7
1	12	6
1	13	7
1	14	8
1	15	5
1	16	5
1	17	1
1	18	2
1	19	7
1	20	3
1	21	2
1	22	6
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	2
2	9	2
2	10	3
2	11	6
2	12	7
2	13	5
2	14	8
2	15	4
2	16	4
2	17	3
2	18	2
2	19	6
2	20	3
2	21	1
2	22	2
2	23	1
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	4
3	9	1
3	10	3
3	11	6
3	12	5
3	13	4
3	14	6
3	15	3
3	16	2
3	17	1
3	18	3
3	19	3
3	20	3
3	21	2
3	22	3
3	23	1
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	2
4	8	5
4	9	3
4	10	3
4	11	4
4	12	6
4	13	5
4	14	6
4	15	4
4	16	3
4	17	1
4	18	2
4	19	6
4	20	3
4	21	1
4	22	4
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	1
5	9	2
5	10	2
5	11	2
5	12	4
5	13	5
5	14	5
5	15	4
5	16	1
5	17	2
5	18	2
5	19	6
5	20	4
5	21	2
5	22	5
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	2
6	9	0
6	10	2
6	11	7
6	12	6
6	13	6
6	14	7
6	15	3
6	16	0
6	17	1
6	18	2
6	19	4
6	20	4
6	21	2
6	22	4
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	1
7	10	5
7	11	6
7	12	7
7	13	7
7	14	8
7	15	4
7	16	1
7	17	1
7	18	3
7	19	5
7	20	3
7	21	2
7	22	4
7	23	0
7	24	0
