day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	1
1	10	1
1	11	1
1	12	1
1	13	1
1	14	1
1	15	2
1	16	1
1	17	3
1	18	4
1	19	9
1	20	1
1	21	2
1	22	2
1	23	1
1	24	2
2	1	2
2	2	2
2	3	1
2	4	2
2	5	2
2	6	1
2	7	2
2	8	2
2	9	2
2	10	2
2	11	1
2	12	3
2	13	2
2	14	2
2	15	2
2	16	3
2	17	2
2	18	2
2	19	1
2	20	1
2	21	1
2	22	1
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	3
3	9	3
3	10	1
3	11	3
3	12	2
3	13	4
3	14	2
3	15	2
3	16	1
3	17	1
3	18	2
3	19	2
3	20	2
3	21	2
3	22	2
3	23	2
3	24	2
4	1	2
4	2	2
4	3	2
4	4	2
4	5	2
4	6	2
4	7	2
4	8	2
4	9	2
4	10	1
4	11	2
4	12	2
4	13	3
4	14	2
4	15	2
4	16	2
4	17	1
4	18	2
4	19	5
4	20	2
4	21	4
4	22	2
4	23	2
4	24	1
5	1	0
5	2	1
5	3	1
5	4	0
5	5	1
5	6	0
5	7	1
5	8	5
5	9	1
5	10	0
5	11	1
5	12	3
5	13	0
5	14	2
5	15	1
5	16	1
5	17	2
5	18	4
5	19	3
5	20	2
5	21	3
5	22	2
5	23	1
5	24	2
6	1	1
6	2	1
6	3	1
6	4	2
6	5	2
6	6	2
6	7	2
6	8	2
6	9	2
6	10	2
6	11	1
6	12	4
6	13	2
6	14	4
6	15	2
6	16	2
6	17	2
6	18	2
6	19	2
6	20	2
6	21	2
6	22	2
6	23	0
6	24	1
7	1	1
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	1
7	22	0
7	23	0
7	24	0
